"Run 1: Time (s)";"Run 1: Sound Level (dB)";"Run 2: Time (s)";"Run 2: Sound Level (dB)";"Run 3: Time (s)";"Run 3: Sound Level (dB)";"Run 4: Time (s)";"Run 4: Sound Level (dB)";"Run 5: Time (s)";"Run 5: Sound Level (dB)";"Run 6: Time (s)";"Run 6: Sound Level (dB)";"Run 7: Time (s)";"Run 7: Sound Level (dB)";"Run 8: Time (s)";"Run 8: Sound Level (dB)";"Run 9: Time (s)";"Run 9: Sound Level (dB)"
0,1;58,4341596088;0,1;63,3001518787;0,1;56,1701078489;0,1;63,8408996292;0,1;64,1117023763;0,1;64,7823176517;0,1;64,7069005485;0,1;65,5564976013;0,1;66,3890488173
0,2;58,4341596088;0,2;63,3001518787;0,2;56,2370759132;0,2;63,8155052402;0,2;64,0877325428;0,2;64,7325356764;0,2;64,7069005485;0,2;65,5564976013;0,2;66,3890488173
0,3;58,4566437176;0,3;63,3001518787;0,3;56,2822091104;0,3;63,7916109326;0,3;64,1117023763;0,3;64,6827796631;0,3;64,7069005485;0,3;65,5564976013;0,3;66,3890488173
0,4;58,4566437176;0,4;63,3001518787;0,4;56,2603231058;0,4;63,6931114255;0,4;64,0877325428;0,4;64,6074412327;0,4;64,7069005485;0,4;65,5564976013;0,4;66,3890488173
0,5;58,4566437176;0,5;63,3001518787;0,5;56,2603231058;0,5;63,5947157666;0,5;64,0877325428;0,5;64,5577505179;0,5;64,6827796631;0,5;65,5564976013;0,5;66,3890488173
0,6;58,4805397704;0,6;63,3001518787;0,6;56,2603231058;0,6;63,4964239558;0,6;64,0877325428;0,6;64,5080857651;0,6;64,6827796631;0,6;65,5321627258;0,6;66,3890488173
0,7;58,5030364669;0,7;63,3001518787;0,7;56,3273682696;0,7;63,4964239558;0,7;64,0877325428;0,7;64,4584469744;0,7;64,6827796631;0,7;65,5321627258;0,7;66,3890488173
0,8;58,5269458941;0,8;63,3001518787;0,8;56,3273682696;0,8;63,4220295996;0,8;64,1117023763;0,8;64,4584469744;0,8;64,6827796631;0,8;65,5321627258;0,8;66,3890488173
0,9;58,4805397704;0,9;63,3239203098;0,9;56,3054696774;0,9;63,4964239558;0,9;64,0877325428;0,9;64,4343890273;0,9;64,6827796631;0,9;65,5321627258;0,9;66,3890488173
1;58,4805397704;1;63,3001518787;1;56,3506422109;1;63,5693882495;1;64,0877325428;1;64,4088341457;1;64,6827796631;1;65,5564976013;1;66,3890488173
1,1;58,4805397704;1,1;63,3001518787;1,1;56,3506422109;1,1;63,5455568802;1,1;64,0877325428;1,1;64,4584469744;1,1;64,6827796631;1,1;65,5321627258;1,1;66,3890488173
1,2;58,4805397704;1,2;63,3001518787;1,2;56,3273682696;1,2;63,5947157666;1,2;64,1117023763;1,2;64,4343890273;1,2;64,6571579096;1,2;65,5564976013;1,2;66,3890488173
1,3;58,4566437176;1,3;63,3001518787;1,3;56,3506422109;1,3;63,5947157666;1,3;64,0877325428;1,3;64,4343890273;1,3;64,6571579096;1,3;65,5321627258;1,3;66,3890488173
1,4;58,4805397704;1,4;63,3001518787;1,4;56,3725533908;1,4;63,6185597236;1,4;64,1117023763;1,4;64,4343890273;1,4;64,6827796631;1,4;65,5564976013;1,4;66,3890488173
1,5;58,4805397704;1,5;63,3239203098;1,5;56,417764474;1,5;63,6677571597;1,5;64,1117023763;1,5;64,4088341457;1,5;64,7069005485;1,5;65,5564976013;1,5;66,4151321897
1,6;58,4805397704;1,6;63,3001518787;1,6;56,3958407065;1,6;63,6677571597;1,6;64,1117023763;1,6;64,4088341457;1,6;64,6827796631;1,6;65,5564976013;1,6;66,3890488173
1,7;58,4805397704;1,7;63,3239203098;1,7;56,417764474;1,7;63,6931114255;1,7;64,1371770116;1,7;64,4088341457;1,7;64,6827796631;1,7;65,5564976013;1,7;66,4151321897
1,8;58,4566437176;1,8;63,3001518787;1,8;56,417764474;1,8;63,6931114255;1,8;64,1611594328;1,8;64,4088341457;1,8;64,6827796631;1,8;65,5321627258;1,8;66,4151321897
1,9;58,4805397704;1,9;63,3001518787;1,9;56,4410651642;1,9;63,6677571597;1,9;64,1866474425;1,9;64,4088341457;1,9;64,6827796631;1,9;65,5564976013;1,9;66,3890488173
2;58,5030364669;2;63,3001518787;2;56,4630015193;2;63,6677571597;2;64,1611594328;2;64,359247279;2;64,6571579096;2;65,5564976013;2;66,4151321897
2,1;58,5030364669;2,1;63,3001518787;2,1;56,4410651642;2,1;63,6677571597;2,1;64,1371770116;2,1;64,3847887863;2,1;64,6571579096;2,1;65,5564976013;2,1;66,3890488173
2,2;58,4805397704;2,2;63,3001518787;2,2;56,4863155839;2,2;63,6677571597;2,2;64,1371770116;2,2;64,3847887863;2,2;64,6330496119;2,2;65,5564976013;2,2;66,3890488173
2,3;58,4805397704;2,3;63,3001518787;2,3;56,4630015193;2,3;63,6439006151;2,3;64,1611594328;2,3;64,3847887863;2,3;64,6330496119;2,3;65,5564976013;2,3;66,3645060548
2,4;58,4341596088;2,4;63,3239203098;2,4;56,5082645267;2,4;63,6439006151;2,4;64,1371770116;2,4;64,3847887863;2,4;64,6330496119;2,4;65,5564976013;2,4;66,3645060548
2,5;58,3878054091;2,5;63,3491809549;2,5;56,5082645267;2,5;63,6439006151;2,5;64,1371770116;2,5;64,4088341457;2,5;64,6571579096;2,5;65,5564976013;2,5;66,3890488173
2,6;58,3878054091;2,6;63,3239203098;2,6;56,5082645267;2,6;63,6185597236;2,6;64,1611594328;2,6;64,3847887863;2,6;64,6571579096;2,6;65,5564976013;2,6;66,3645060548
2,7;58,363936105;2,7;63,3239203098;2,7;56,5082645267;2,7;63,6439006151;2,7;64,1611594328;2,7;64,3847887863;2,7;64,6571579096;2,7;65,5823600937;2,7;66,3645060548
2,8;58,3878054091;2,8;63,3239203098;2,8;56,4863155839;2,8;63,6439006151;2,8;64,1371770116;2,8;64,3847887863;2,8;64,6571579096;2,8;65,5823600937;2,8;66,3890488173
2,9;58,4102769303;2,9;63,3239203098;2,9;56,5315919656;2,9;63,6439006151;2,9;64,1611594328;2,9;64,3847887863;2,9;64,6827796631;2,9;65,5823600937;2,9;66,3890488173
3;58,4341596088;3;63,3239203098;3;56,5082645267;3;63,6439006151;3;64,1371770116;3;64,3847887863;3;64,6827796631;3;65,5823600937;3;66,3384360568
3,1;58,4566437176;3,1;63,3001518787;3,1;56,5315919656;3,1;63,6439006151;3,1;64,1371770116;3,1;64,3847887863;3,1;64,6571579096;3,1;65,5823600937;3,1;66,3139058819
3,2;58,4566437176;3,2;63,3001518787;3,2;56,5082645267;3,2;63,6439006151;3,2;64,1371770116;3,2;64,3847887863;3,2;64,6827796631;3,2;65,5823600937;3,2;66,2878492583
3,3;58,4341596088;3,3;63,3001518787;3,3;56,5082645267;3,3;63,6439006151;3,3;64,1371770116;3,3;64,3847887863;3,3;64,7069005485;3,3;65,6067075569;3,3;66,2878492583
3,4;58,4566437176;3,4;63,3001518787;3,4;56,5082645267;3,4;63,6439006151;3,4;64,1611594328;3,4;64,3847887863;3,4;64,7069005485;3,4;65,5823600937;3,4;66,2633316711
3,5;58,4341596088;3,5;63,3001518787;3,5;56,5082645267;3,5;63,6439006151;3,5;64,1611594328;3,5;64,3847887863;3,5;64,7069005485;3,5;65,5823600937;3,5;66,2633316711
3,6;58,4102769303;3,6;63,2749046079;3,6;56,5315919656;3,6;63,6439006151;3,6;64,1371770116;3,6;64,3847887863;3,6;64,7069005485;3,6;65,5823600937;3,6;66,2633316711
3,7;58,4341596088;3,7;63,3001518787;3,7;56,5082645267;3,7;63,6439006151;3,7;64,1611594328;3,7;64,359247279;3,7;64,7069005485;3,7;65,5823600937;3,7;66,2633316711
3,8;58,3878054091;3,8;63,3001518787;3,8;56,5082645267;3,8;63,6677571597;3,8;64,1611594328;3,8;64,3847887863;3,8;64,7069005485;3,8;65,6067075569;3,8;66,2372884219
3,9;58,4102769303;3,9;63,3001518787;3,9;56,5082645267;3,9;63,6677571597;3,9;64,1371770116;3,9;64,3847887863;3,9;64,6827796631;3,9;65,6067075569;3,9;66,2633316711
4;58,3878054091;4;63,3001518787;4;56,5082645267;4;63,6439006151;4;64,1611594328;4;64,3847887863;4;64,6571579096;4;65,6067075569;4;66,2633316711
4,1;58,4102769303;4,1;63,2749046079;4,1;56,4630015193;4,1;63,6677571597;4,1;64,1611594328;4,1;64,3847887863;4,1;64,6571579096;4,1;65,6067075569;4,1;66,2878492583
4,2;58,3878054091;4,2;63,3001518787;4,2;56,5082645267;4,2;63,6677571597;4,2;64,1611594328;4,2;64,359247279;4,2;64,6330496119;4,2;65,6067075569;4,2;66,2372884219
4,3;58,4341596088;4,3;63,3001518787;4,3;56,4863155839;4,3;63,6931114255;4,3;64,1611594328;4,3;64,3847887863;4,3;64,6330496119;4,3;65,6067075569;4,3;66,2633316711
4,4;58,4341596088;4,4;63,3001518787;4,4;56,5082645267;4,4;63,6677571597;4,4;64,1371770116;4,4;64,3847887863;4,4;64,6330496119;4,4;65,6067075569;4,4;66,2372884219
4,5;58,4566437176;4,5;63,3001518787;4,5;56,5082645267;4,5;63,6677571597;4,5;64,1611594328;4,5;64,3847887863;4,5;64,6074412327;4,5;65,5823600937;4,5;66,2372884219
4,6;58,4805397704;4,6;63,3001518787;4,6;56,5082645267;4,6;63,6931114255;4,6;64,1371770116;4,6;64,4088341457;4,6;64,6074412327;4,6;65,5823600937;4,6;66,2372884219
4,7;58,4341596088;4,7;63,3001518787;4,7;56,4863155839;4,7;63,6677571597;4,7;64,1611594328;4,7;64,4088341457;4,7;64,6074412327;4,7;65,5823600937;4,7;66,2372884219
4,8;58,4805397704;4,8;63,3239203098;4,8;56,553553496;4,8;63,6677571597;4,8;64,1866474425;4,8;64,3847887863;4,8;64,6074412327;4,8;65,6067075569;4,8;66,2633316711
4,9;58,4805397704;4,9;63,3001518787;4,9;56,5082645267;4,9;63,6439006151;4,9;64,1611594328;4,9;64,3847887863;4,9;64,6330496119;4,9;65,5823600937;4,9;66,2633316711
5;58,5030364669;5;63,2749046079;5;56,5082645267;5;63,6677571597;5;64,1611594328;5;64,4088341457;5;64,6074412327;5;65,5564976013;5;66,2372884219
