"Run 1: Time (s)";"Run 1: Sound Level (dB)";"Run 2: Time (s)";"Run 2: Sound Level (dB)";"Run 3: Time (s)";"Run 3: Sound Level (dB)";"Run 4: Time (s)";"Run 4: Sound Level (dB)";"Run 5: Time (s)";"Run 5: Sound Level (dB)";"Run 6: Time (s)";"Run 6: Sound Level (dB)";"Run 7: Time (s)";"Run 7: Sound Level (dB)";"Run 8: Time (s)";"Run 8: Sound Level (dB)";"Run 9: Time (s)";"Run 9: Sound Level (dB)"
0,1;70,8132449021;0,1;70,6292426293;0,1;70,5493399821;0,1;71,1050928297;0,1;68,3581631852;0,1;53,2065946022;0,1;54,6081512715;0,1;64,8562842374;0,1;61,5509388496
0,2;70,8132449021;0,2;70,654824064;0,2;70,5237837227;0,2;71,1050928297;0,2;68,3581631852;0,2;53,1855836304;0,2;54,6523372476;0,2;64,832125589;0,2;61,5757111271
0,3;70,7876257044;0,3;70,654824064;0,3;70,5237837227;0,3;71,1050928297;0,3;68,3581631852;0,3;53,0766871618;0,3;54,6523372476;0,3;64,8562842374;0,3;61,5509388496
0,4;70,8132449021;0,4;70,654824064;0,4;70,5237837227;0,4;71,1050928297;0,4;68,3581631852;0,4;53,0334366057;0,4;54,6523372476;0,4;64,8562842374;0,4;61,5276300587
0,5;70,8132449021;0,5;70,654824064;0,5;70,5237837227;0,5;71,077798873;0,5;68,3581631852;0,5;53,0334366057;0,5;54,740787086;0,5;64,8819594884;0,5;61,5028711555
0,6;70,8132449021;0,6;70,6820110256;0,6;70,5237837227;0,6;71,1050928297;0,6;68,3581631852;0,6;53,0124759845;0,6;54,8065215602;0,6;64,8819594884;0,6;61,4795749522
0,7;70,8132449021;0,7;70,6820110256;0,7;70,5237837227;0,7;71,1050928297;0,7;68,4098018396;0,7;53,0334366057;0,7;54,8293407726;0,7;64,8562842374;0,7;61,5028711555
0,8;70,8132449021;0,8;70,6820110256;0,8;70,4966368843;0,8;71,1050928297;0,8;68,3831968663;0,8;53,0766871618;0,8;54,8951523462;0,8;64,8562842374;0,8;61,4795749522
0,9;70,8132449021;0,9;70,6820110256;0,9;70,4966368843;0,9;71,1050928297;0,9;68,3831968663;0,9;53,0989778834;0,9;54,8508239722;0,9;64,832125589;0,9;61,4795749522
1;70,8132449021;1;70,6820110256;1;70,4710932125;1;71,1050928297;1;68,3831968663;1;53,0766871618;1;54,8736565589;1;64,832125589;1;61,4548294234
1,1;70,8132449021;1,1;70,6820110256;1,1;70,4710932125;1,1;71,0521167371;1,1;68,3831968663;1,1;53,0766871618;1,1;54,8508239722;1,1;64,832125589;1,1;61,4548294234
1,2;70,8132449021;1,2;70,6820110256;1,2;70,4710932125;1,2;71,0521167371;1,2;68,3831968663;1,2;53,0989778834;1,2;54,8736565589;1,2;64,832125589;1,2;61,4548294234
1,3;70,8132449021;1,3;70,6820110256;1,3;70,4710932125;1,3;71,077798873;1,3;68,3831968663;1,3;53,0557139529;1,3;54,8736565589;1,3;64,832125589;1,3;61,4795749522
1,4;70,8132449021;1,4;70,6820110256;1,4;70,4966368843;1,4;71,1307875533;1,4;68,3831968663;1,4;53,0989778834;1,4;54,8736565589;1,4;64,832125589;1,4;61,5028711555
1,5;70,8132449021;1,5;70,6820110256;1,5;70,4710932125;1,5;71,1050928297;1,5;68,3831968663;1,5;53,0989778834;1,5;54,8736565589;1,5;64,8064637124;1,5;61,5028711555
1,6;70,8132449021;1,6;70,6820110256;1,6;70,4966368843;1,6;71,077798873;1,6;68,3831968663;1,6;53,0766871618;1,6;54,8951523462;1,6;64,832125589;1,6;61,4548294234
1,7;70,8132449021;1,7;70,6820110256;1,7;70,4966368843;1,7;71,077798873;1,7;68,3831968663;1,7;53,0557139529;1,7;54,9395066822;1,7;64,832125589;1,7;61,4548294234
1,8;70,8132449021;1,8;70,6820110256;1,8;70,4966368843;1,8;71,077798873;1,8;68,3831968663;1,8;53,0334366057;1,8;54,9395066822;1,8;64,832125589;1,8;61,4548294234
1,9;70,8132449021;1,9;70,6820110256;1,9;70,4966368843;1,9;71,077798873;1,9;68,3831968663;1,9;53,1199636799;1,9;54,9395066822;1,9;64,832125589;1,9;61,4795749522
2;70,8132449021;2;70,6820110256;2;70,4966368843;2;71,077798873;2;68,3581631852;2;53,0989778834;2;54,8951523462;2;64,832125589;2;61,4548294234
2,1;70,8132449021;2,1;70,6820110256;2,1;70,5237837227;2,1;71,077798873;2,1;68,3831968663;2,1;53,0557139529;2,1;54,9395066822;2,1;64,832125589;2,1;61,4548294234
2,2;70,8132449021;2,2;70,6820110256;2,2;70,4966368843;2,2;71,1050928297;2,2;68,3831968663;2,2;53,0557139529;2,2;54,8951523462;2,2;64,832125589;2,2;61,4548294234
2,3;70,8132449021;2,3;70,6820110256;2,3;70,5237837227;2,3;71,077798873;2,3;68,3831968663;2,3;53,0557139529;2,3;54,8736565589;2,3;64,832125589;2,3;61,4548294234
2,4;70,8132449021;2,4;70,6820110256;2,4;70,4966368843;2,4;71,077798873;2,4;68,3831968663;2,4;53,0124759845;2,4;54,8065215602;2,4;64,832125589;2,4;61,4548294234
2,5;70,8132449021;2,5;70,6820110256;2,5;70,4966368843;2,5;71,077798873;2,5;68,3581631852;2,5;52,9692639781;2,5;54,8065215602;2,5;64,832125589;2,5;61,4548294234
2,6;70,8404719869;2,6;70,6820110256;2,6;70,4966368843;2,6;71,077798873;2,6;68,3831968663;2,6;52,9692639781;2,6;54,8293407726;2,6;64,832125589;2,6;61,4068136534
2,7;70,8132449021;2,7;70,6820110256;2,7;70,4966368843;2,7;71,077798873;2,7;68,3831968663;2,7;52,9470133797;2,7;54,8736565589;2,7;64,8064637124;2,7;61,4548294234
2,8;70,8132449021;2,8;70,6820110256;2,8;70,4710932125;2,8;71,077798873;2,8;68,3831968663;2,8;52,9470133797;2,8;54,8508239722;2,8;64,8064637124;2,8;61,4548294234
2,9;70,8132449021;2,9;70,6820110256;2,9;70,4966368843;2,9;71,0521167371;2,9;68,3831968663;2,9;52,9470133797;2,9;54,8508239722;2,9;64,8064637124;2,9;61,4548294234
3;70,8404719869;3;70,6820110256;3;70,4966368843;3;71,0521167371;3;68,3831968663;3;53,0124759845;3;54,8951523462;3;64,8064637124;3;61,4315458078
3,1;70,8132449021;3,1;70,6820110256;3,1;70,4966368843;3,1;71,0248361548;3,1;68,3831968663;3,1;53,0557139529;3,1;54,8951523462;3,1;64,8064637124;3,1;61,4315458078
3,2;70,8132449021;3,2;70,6820110256;3,2;70,4966368843;3,2;71,0248361548;3,2;68,3831968663;3,2;53,0557139529;3,2;54,8508239722;3,2;64,8064637124;3,2;61,4548294234
3,3;70,8132449021;3,3;70,6820110256;3,3;70,4966368843;3,3;70,9991666065;3,3;68,3831968663;3,3;53,0766871618;3,3;54,9179983073;3,3;64,8064637124;3,3;61,4548294234
3,4;70,8132449021;3,4;70,6820110256;3,4;70,4966368843;3,4;70,9991666065;3,4;68,3831968663;3,4;53,0334366057;3,4;54,8736565589;3,4;64,8064637124;3,4;61,4315458078
3,5;70,8132449021;3,5;70,6820110256;3,5;70,4966368843;3,5;70,9991666065;3,5;68,3831968663;3,5;53,0557139529;3,5;54,8951523462;3,5;64,8064637124;3,5;61,4315458078
3,6;70,8132449021;3,6;70,6820110256;3,6;70,4966368843;3,6;70,9991666065;3,6;68,4098018396;3,6;53,0766871618;3,6;54,8951523462;3,6;64,7823176517;3,6;61,4315458078
3,7;70,8132449021;3,7;70,6820110256;3,7;70,4966368843;3,7;70,9718993986;3,7;68,4098018396;3,7;53,1199636799;3,7;54,8951523462;3,7;64,7823176517;3,7;61,4315458078
3,8;70,8132449021;3,8;70,6820110256;3,8;70,4966368843;3,8;70,9718993986;3,8;68,4098018396;3,8;53,0557139529;3,8;54,9395066822;3,8;64,7823176517;3,8;61,4315458078
3,9;70,8404719869;3,9;70,6820110256;3,9;70,4966368843;3,9;70,9718993986;3,9;68,4098018396;3,9;53,1199636799;3,9;54,9395066822;3,9;64,7823176517;3,9;61,4315458078
4;70,8404719869;4;70,6820110256;4;70,4710932125;4;70,9718993986;4;68,4098018396;4;53,0766871618;4;54,9179983073;4;64,7823176517;4;61,4548294234
4,1;70,8404719869;4,1;70,6820110256;4,1;70,4710932125;4,1;70,9718993986;4,1;68,4098018396;4,1;53,0766871618;4,1;54,9179983073;4,1;64,8064637124;4,1;61,4315458078
4,2;70,8404719869;4,2;70,6820110256;4,2;70,4710932125;4,2;70,9718993986;4,2;68,4098018396;4,2;53,0766871618;4,2;54,8951523462;4,2;64,8064637124;4,2;61,4315458078
4,3;70,8404719869;4,3;70,6820110256;4,3;70,4966368843;4,3;70,9991666065;4,3;68,3831968663;4,3;53,0989778834;4,3;54,8065215602;4,3;64,8064637124;4,3;61,4068136534
4,4;70,8132449021;4,4;70,6820110256;4,4;70,4966368843;4,4;70,9991666065;4,4;68,3831968663;4,4;53,0766871618;4,4;54,7179946224;4,4;64,7823176517;4,4;61,4315458078
4,5;70,8404719869;4,5;70,6820110256;4,5;70,4966368843;4,5;70,9991666065;4,5;68,3831968663;4,5;53,0989778834;4,5;54,8065215602;4,5;64,8064637124;4,5;61,4068136534
4,6;70,8132449021;4,6;70,6820110256;4,6;70,4966368843;4,6;71,0248361548;4,6;68,3831968663;4,6;53,0989778834;4,6;54,9623660177;4,6;64,7823176517;4,6;61,4315458078
4,7;70,8132449021;4,7;70,6820110256;4,7;70,4966368843;4,7;70,9991666065;4,7;68,3831968663;4,7;53,0989778834;4,7;54,9395066822;4,7;64,7823176517;4,7;61,4068136534
4,8;70,8132449021;4,8;70,707605048;4,8;70,4966368843;4,8;70,9991666065;4,8;68,3831968663;4,8;53,0766871618;4,8;54,8065215602;4,8;64,7566691494;4,8;61,4068136534
4,9;70,8132449021;4,9;70,6820110256;4,9;70,4966368843;4,9;70,9991666065;4,9;68,4098018396;4,9;53,0989778834;4,9;54,740787086;4,9;64,7823176517;4,9;61,4068136534
5;70,8132449021;5;70,6820110256;5;70,4966368843;5;70,9991666065;5;68,4098018396;5;53,0766871618;5;54,6523372476;5;64,7566691494;5;61,4068136534
