"Run 1: Time (s)";"Run 1: Sound Level (dB)";"Run 2: Time (s)";"Run 2: Sound Level (dB)";"Run 3: Time (s)";"Run 3: Sound Level (dB)";"Run 4: Time (s)";"Run 4: Sound Level (dB)";"Run 5: Time (s)";"Run 5: Sound Level (dB)";"Run 6: Time (s)";"Run 6: Sound Level (dB)";"Run 7: Time (s)";"Run 7: Sound Level (dB)";"Run 8: Time (s)";"Run 8: Sound Level (dB)";"Run 9: Time (s)";"Run 9: Sound Level (dB)"
0,1;51,0083037873;0,1;56,7129571128;0,1;63,7423481981;0,1;70,023477295;0,1;71,8220029426;0,1;71,6621022684;0,1;68,1518681882;0,1;66,5917594797;0,1;63,5455568802
0,2;52,3021493442;0,2;56,7583633047;0,2;63,7423481981;0,2;70,0759467345;0,2;71,6362816682;0,2;71,6621022684;0,2;68,1518681882;0,2;66,5917594797;0,2;63,5693882495
0,3;52,2593661049;0,3;56,8037954587;0,3;63,7423481981;0,3;70,1284421361;0,3;71,5830459552;0,3;71,6621022684;0,3;68,1768515186;0,3;66,5917594797;0,3;63,5693882495
0,4;52,2386320614;0,4;56,9167998844;0,4;63,7423481981;0,4;70,1554953539;0,4;71,5830459552;0,4;71,6621022684;0,4;68,1518681882;0,4;66,6178963496;0,4;63,5693882495
0,5;52,2814027132;0,5;56,9623225121;0,5;63,7423481981;0,5;70,1554953539;0,5;71,5830459552;0,5;71,6621022684;0,5;68,1518681882;0,5;66,6178963496;0,5;63,5693882495
0,6;52,3021493442;0,6;57,0078711018;0,6;63,7423481981;0,6;70,1809634997;0,6;71,6088539677;0,6;71,6621022684;0,6;68,1518681882;0,6;66,6178963496;0,6;63,5947157666
0,7;52,1958873717;0,7;57,1225474733;0,7;63,7423481981;0,7;70,2080300919;0,7;71,6621022684;0,7;71,6621022684;0,7;68,1518681882;0,7;66,6178963496;0,7;63,5947157666
0,8;52,1958873717;0,8;57,1681873236;0,8;63,766229918;0,8;70,2080300919;0,8;71,7153765311;0,8;71,6621022684;0,8;68,1518681882;0,8;66,5917594797;0,8;63,5947157666
0,9;52,1531686441;0,9;57,1917088937;0,9;63,766229918;0,9;70,0759467345;0,9;71,7686767558;0,9;71,6362816682;0,9;68,1518681882;0,9;66,6178963496;0,9;63,5693882495
1;52,1738775122;1;57,2373880804;1;63,766229918;1;70,2080300919;1;71,7428309803;1;71,6362816682;1;68,1253300868;1;66,6178963496;1;63,5693882495
1,1;52,1958873717;1,1;57,2595449102;1,1;63,766229918;1,1;70,3913085746;1,1;71,7153765311;1,1;71,6621022684;1,1;68,1253300868;1,1;66,6178963496;1,1;63,5947157666
1,2;52,2166088275;1,2;57,3510063449;1,2;63,766229918;1,2;70,5237837227;1,2;71,6895433433;1,2;71,6621022684;1,2;68,1253300868;1,2;66,6178963496;1,2;63,5693882495
1,3;52,3021493442;1,3;57,3745814126;1,3;63,766229918;1,3;70,576500195;1,3;71,6621022684;1,3;71,6621022684;1,3;68,1518681882;1,3;66,6178963496;1,3;63,5947157666
1,4;52,2814027132;1,4;57,4425716278;1,4;63,7916109326;1,4;70,6020690421;1,4;71,6362816682;1,4;71,6895433433;1,4;68,1253300868;1,4;66,6178963496;1,4;63,5947157666
1,5;52,3449585457;1,5;57,4425716278;1,5;63,7916109326;1,5;70,6020690421;1,5;71,6362816682;1,5;71,6362816682;1,5;68,1253300868;1,5;66,6178963496;1,5;63,6185597236
1,6;52,3021493442;1,6;57,4661734442;1,6;63,766229918;1,6;70,6020690421;1,6;71,6895433433;1,6;71,6621022684;1,6;68,1518681882;1,6;66,6178963496;1,6;63,6185597236
1,7;52,3021493442;1,7;57,4425716278;1,7;63,7916109326;1,7;70,576500195;1,7;71,7153765311;1,7;71,6621022684;1,7;68,1253300868;1,7;66,5917594797;1,7;63,5947157666
1,8;52,324199327;1,8;57,4883932123;1,8;63,7916109326;1,8;70,6020690421;1,8;71,7153765311;1,8;71,6621022684;1,8;68,1253300868;1,8;66,6425020504;1,8;63,5947157666
1,9;52,2593661049;1,9;57,5342407589;1,9;63,8408996292;1,9;70,6020690421;1,9;71,7428309803;1,9;71,6621022684;1,9;68,1253300868;1,9;66,6178963496;1,9;63,5947157666
2;52,2593661049;2;57,5342407589;2;63,8155052402;2;70,6292426293;2;71,7153765311;2;71,6088539677;2;68,1518681882;2;66,6178963496;2;63,5947157666
2,1;52,2814027132;2,1;57,5578693241;2,1;63,7916109326;2,1;70,6292426293;2,1;71,7153765311;2,1;71,5830459552;2,1;68,1518681882;2,1;66,6178963496;2,1;63,6185597236
2,2;52,2386320614;2,2;57,5342407589;2,2;63,766229918;2,2;70,6020690421;2,2;71,7153765311;2,2;71,6362816682;2,2;68,1253300868;2,2;66,6425020504;2,2;63,6185597236
2,3;52,2593661049;2,3;57,4883932123;2,3;63,7916109326;2,3;70,6292426293;2,3;71,7153765311;2,3;71,6621022684;2,3;68,1518681882;2,3;66,6178963496;2,3;63,6677571597
2,4;52,2814027132;2,4;57,4425716278;2,4;63,7916109326;2,4;70,6292426293;2,4;71,7153765311;2,4;71,6621022684;2,4;68,1768515186;2,4;66,6178963496;2,4;63,6931114255
2,5;52,3021493442;2,5;57,4203644474;2,5;63,7916109326;2,5;70,6292426293;2,5;71,7153765311;2,5;71,6621022684;2,5;68,1253300868;2,5;66,6425020504;2,5;63,7423481981
2,6;52,2814027132;2,6;57,3745814126;2,6;63,8155052402;2,6;70,5493399821;2,6;71,7153765311;2,6;71,6621022684;2,6;68,1518681882;2,6;66,6425020504;2,6;63,766229918
2,7;52,3021493442;2,7;57,3288243398;2,7;63,766229918;2,7;70,4184286643;2,7;71,6895433433;2,7;71,6895433433;2,7;68,1518681882;2,7;66,6178963496;2,7;63,7169805578
2,8;52,3670219028;2,8;57,2595449102;2,8;63,766229918;2,8;70,3913085746;2,8;71,6895433433;2,8;71,6895433433;2,8;68,1518681882;2,8;66,6425020504;2,8;63,6677571597
2,9;52,3877937092;2,9;57,1681873236;2,9;63,7916109326;2,9;70,4184286643;2,9;71,6895433433;2,9;71,6621022684;2,9;68,1518681882;2,9;66,6686522947;2,9;63,6677571597
3;52,4306548347;3;57,1225474733;3;63,7423481981;3;70,4184286643;3;71,6895433433;3;71,6621022684;3;68,1518681882;3;66,6686522947;3;63,6677571597
3,1;52,4306548347;3,1;57,0769335851;3,1;63,766229918;3,1;70,4439597484;3,1;71,6895433433;3,1;71,6621022684;3,1;68,1518681882;3,1;66,6686522947;3,1;63,6439006151
3,2;52,4098704406;3,2;57,0534456536;3,2;63,7916109326;3,2;70,4184286643;3,2;71,6895433433;3,2;71,6895433433;3,2;68,1518681882;3,2;66,6932705831;3,2;63,6185597236
3,3;52,3670219028;3,3;57,031345659;3,3;63,7916109326;3,3;70,4439597484;3,3;71,6895433433;3,3;71,6621022684;3,3;68,1518681882;3,3;66,6686522947;3,3;63,6185597236
3,4;52,3670219028;3,4;57,0078711018;3,4;63,8408996292;3,4;70,4439597484;3,4;71,6895433433;3,4;71,6621022684;3,4;68,1518681882;3,4;66,6686522947;3,4;63,4711231875
3,5;52,3670219028;3,5;56,9402476927;3,5;63,8408996292;3,5;70,4184286643;3,5;71,6895433433;3,5;71,6621022684;3,5;68,1518681882;3,5;66,6932705831;3,5;63,4711231875
3,6;52,3670219028;3,6;56,9402476927;3,6;63,8648065245;3,6;70,3913085746;3,6;71,6895433433;3,6;71,6621022684;3,6;68,1518681882;3,6;66,6932705831;3,6;64,2601514318
3,7;52,4306548347;3,7;56,9857836948;3,7;63,8648065245;3,7;70,3913085746;3,7;71,6895433433;3,7;71,6621022684;3,7;68,1518681882;3,7;66,6932705831;3,7;65,0316169588
3,8;52,4098704406;3,8;57,031345659;3,8;63,8155052402;3,8;70,3913085746;3,8;71,7153765311;3,8;71,6621022684;3,8;68,1518681882;3,8;66,6932705831;3,8;65,3559173994
3,9;52,3877937092;3,9;57,0769335851;3,9;63,8408996292;3,9;70,3913085746;3,9;71,6895433433;3,9;71,6895433433;3,9;68,1768515186;3,9;66,6932705831;3,9;65,3559173994
4;52,3449585457;4;57,1225474733;4;63,8408996292;4;70,3913085746;4;71,6895433433;4;71,6895433433;4;68,1768515186;4;66,6932705831;4;65,305837254
4,1;52,3449585457;4,1;57,1681873236;4,1;63,8648065245;4,1;70,3657900781;4,1;71,6621022684;4,1;71,6895433433;4,1;68,1768515186;4,1;66,6932705831;4,1;65,2315237211
4,2;52,3021493442;4,2;57,1460556691;4,2;63,8648065245;4,2;70,3657900781;4,2;71,6621022684;4,2;71,6895433433;4,2;68,1518681882;4,2;66,6932705831;4,2;65,1557525901
4,3;52,2814027132;4,3;57,1917088937;4,3;63,8648065245;4,3;70,3657900781;4,3;71,6621022684;4,3;71,6895433433;4,3;68,1768515186;4,3;66,6932705831;4,3;65,1315184159
4,4;52,324199327;4,4;57,1917088937;4,4;63,8648065245;4,4;70,3657900781;4,4;71,6621022684;4,4;71,6895433433;4,4;68,1768515186;4,4;66,6932705831;4,4;65,1815080875
4,5;52,324199327;4,5;57,2373880804;4,5;63,8902142879;4,5;70,3913085746;4,5;71,6362816682;4,5;71,6895433433;4,5;68,1518681882;4,5;66,6932705831;4,5;65,1315184159
4,6;52,3449585457;4,6;57,3052626465;4,6;63,8648065245;4,6;70,3913085746;4,6;71,6621022684;4,6;71,6895433433;4,6;68,1518681882;4,6;66,7440650779;4,6;65,0815547063
4,7;52,3449585457;4,7;57,3510063449;4,7;63,8902142879;4,7;70,3913085746;4,7;71,6621022684;4,7;71,6895433433;4,7;68,1518681882;4,7;66,7194342018;4,7;65,0815547063
4,8;52,324199327;4,8;57,3052626465;4,8;63,8648065245;4,8;70,4184286643;4,8;71,6362816682;4,8;71,6895433433;4,8;68,1518681882;4,8;66,6686522947;4,8;65,0815547063
4,9;52,3021493442;4,9;57,3745814126;4,9;63,8648065245;4,9;70,4184286643;4,9;71,6362816682;4,9;71,6895433433;4,9;68,1518681882;4,9;66,6686522947;4,9;65,0558259577
5;52,324199327;5;57,4661734442;5;63,8648065245;5;70,4184286643;5;71,6621022684;5;71,6895433433;5;68,1518681882;5;66,6686522947;5;65,0558259577
