"Run 1: Time (s)";"Run 1: Sound Level (dB)";"Run 2: Time (s)";"Run 2: Sound Level (dB)";"Run 3: Time (s)";"Run 3: Sound Level (dB)";"Run 4: Time (s)";"Run 4: Sound Level (dB)";"Run 5: Time (s)";"Run 5: Sound Level (dB)";"Run 6: Time (s)";"Run 6: Sound Level (dB)";"Run 7: Time (s)";"Run 7: Sound Level (dB)";"Run 8: Time (s)";"Run 8: Sound Level (dB)";"Run 9: Time (s)";"Run 9: Sound Level (dB)"
3,1;67,8167466987;3,1;67,3308421261;3,1;63,766229918;3,1;50,6731026932;3,1;66,7948855347;3,1;70,5237837227;3,1;71,7961445795;3,1;72,8956107911;3,1;72,9756121558
3,2;67,7918514818;3,2;67,3308421261;3,2;63,766229918;3,2;50,6946375595;3,2;66,7948855347;3,2;70,5237837227;3,2;71,7961445795;3,2;72,8956107911;3,2;72,9756121558
3,3;67,7918514818;3,3;67,3308421261;3,3;63,766229918;3,3;50,7149119628;3,3;66,7702420709;3,3;70,5237837227;3,3;71,7961445795;3,3;72,8956107911;3,3;72,9756121558
3,4;67,8167466987;3,4;67,3308421261;3,4;63,7423481981;3,4;50,7364602035;3,4;66,7702420709;3,4;70,5237837227;3,4;71,7961445795;3,4;72,8956107911;3,4;72,9756121558
3,5;67,8167466987;3,5;67,3045180148;3,5;63,7423481981;3,5;50,7149119628;3,5;66,7702420709;3,5;70,5237837227;3,5;71,7961445795;3,5;72,8956107911;3,5;72,9756121558
3,6;67,8167466987;3,6;67,2797486745;3,6;63,7423481981;3,6;50,7567471945;3,6;66,7702420709;3,6;70,5237837227;3,6;71,7961445795;3,6;72,8956107911;3,6;72,9756121558
3,7;67,7918514818;3,7;67,2797486745;3,7;63,7916109326;3,7;50,7986083882;3,7;66,7702420709;3,7;70,5237837227;3,7;71,7961445795;3,7;72,8956107911;3,7;72,9756121558
3,8;67,7918514818;3,8;67,2797486745;3,8;63,7169805578;3,8;50,7567471945;3,8;66,7440650779;3,8;70,5237837227;3,8;71,7961445795;3,8;72,8956107911;3,8;72,9756121558
3,9;67,8167466987;3,9;67,3045180148;3,9;63,7423481981;3,9;50,7567471945;3,9;66,7440650779;3,9;70,4966368843;3,9;71,7961445795;3,9;72,8956107911;3,9;72,9756121558
4;67,8167466987;4;67,2797486745;4;63,7423481981;4;50,4644457756;4;66,7440650779;4;70,5237837227;4;71,7961445795;4;72,8956107911;4;72,9756121558
4,1;67,8167466987;4,1;67,2797486745;4,1;63,7423481981;4,1;50,3811647429;4,1;66,7440650779;4,1;70,4966368843;4,1;71,7961445795;4,1;72,8956107911;4,1;72,9756121558
4,2;67,8167466987;4,2;67,3045180148;4,2;63,7423481981;4,2;50,1947908703;4,2;66,7440650779;4,2;70,4966368843;4,2;71,7686767558;4,2;72,8956107911;4,2;72,9756121558
4,3;67,8167466987;4,3;67,3045180148;4,3;63,7423481981;4,3;50,1533057328;4,3;66,7440650779;4,3;70,4966368843;4,3;71,7686767558;4,3;72,8956107911;4,3;72,9756121558
4,4;67,8167466987;4,4;67,3045180148;4,4;63,7423481981;4,4;50,1533057328;4,4;66,7194342018;4,4;70,4966368843;4,4;71,7686767558;4,4;72,9217273918;4,4;72,9756121558
4,5;67,8432045538;4,5;67,3045180148;4,5;63,766229918;4,5;50,1118465573;4,5;66,7440650779;4,5;70,4966368843;4,5;71,7686767558;4,5;72,9217273918;4,5;72,9756121558
4,6;67,8432045538;4,6;67,3045180148;4,6;63,766229918;4,6;50,0490790933;4,6;66,7440650779;4,6;70,4966368843;4,6;71,7961445795;4,6;72,8956107911;4,6;73,0033811057
4,7;67,8167466987;4,7;67,3045180148;4,7;63,7423481981;4,7;49,9462694758;4,7;66,7702420709;4,7;70,4966368843;4,7;71,7961445795;4,7;72,9217273918;4,7;72,9756121558
4,8;67,8167466987;4,8;67,3045180148;4,8;63,766229918;4,8;49,9663173013;4,8;66,7440650779;4,8;70,4966368843;4,8;71,7961445795;4,8;72,9217273918;4,8;72,9756121558
4,9;67,8167466987;4,9;67,3045180148;4,9;63,7423481981;4,9;49,9462694758;4,9;66,7702420709;4,9;70,4966368843;4,9;71,7961445795;4,9;72,9217273918;4,9;73,0033811057
5;67,8167466987;5;67,3045180148;5;63,7423481981;5;49,9249753483;5;66,7440650779;5;70,4966368843;5;71,7961445795;5;72,8956107911;5;73,0033811057
