"Run 1: Time (s)";"Run 1: Sound Level (dB)";"Run 2: Time (s)";"Run 2: Sound Level (dB)";"Run 3: Time (s)";"Run 3: Sound Level (dB)";"Run 4: Time (s)";"Run 4: Sound Level (dB)";"Run 5: Time (s)";"Run 5: Sound Level (dB)";"Run 6: Time (s)";"Run 6: Sound Level (dB)";"Run 7: Time (s)";"Run 7: Sound Level (dB)";"Run 8: Time (s)";"Run 8: Sound Level (dB)";"Run 9: Time (s)";"Run 9: Sound Level (dB)"
0,1;70,6292426293;0,1;70,4439597484;0,1;70,8132449021;0,1;73,5437904011;0,1;72,6250111889;0,1;71,6895433433;0,1;71,4234945884;0,1;71,2641768799;0,1;71,8494841406
0,2;70,6292426293;0,2;70,4439597484;0,2;70,8132449021;0,2;73,5437904011;0,2;72,5712955715;0,2;71,6621022684;0,2;71,4234945884;0,2;71,2641768799;0,2;71,8494841406
0,3;70,6292426293;0,3;70,4966368843;0,3;70,8132449021;0,3;73,5437904011;0,3;72,5712955715;0,3;71,6362816682;0,3;71,4234945884;0,3;71,2641768799;0,3;71,8494841406
0,4;70,654824064;0,4;70,4710932125;0,4;70,8132449021;0,4;73,5700580537;0,4;72,5712955715;0,4;71,6088539677;0,4;71,4234945884;0,4;71,2641768799;0,4;71,8494841406
0,5;70,6820110256;0,5;70,4710932125;0,5;70,8132449021;0,5;73,5437904011;0,5;72,5452609812;0,5;71,6088539677;0,5;71,4492648379;0,5;71,2641768799;0,5;71,8494841406
0,6;70,654824064;0,6;70,4710932125;0,6;70,7876257044;0,6;73,5437904011;0,6;72,5452609812;0,6;71,5830459552;0,6;71,4492648379;0,6;71,2641768799;0,6;71,8494841406
0,7;70,6820110256;0,7;70,4710932125;0,7;70,8132449021;0,7;73,5437904011;0,7;72,5452609812;0,7;71,6088539677;0,7;71,4234945884;0,7;71,2641768799;0,7;71,8494841406
0,8;70,707605048;0,8;70,4710932125;0,8;70,7876257044;0,8;73,5158877074;0,8;72,5712955715;0,8;71,6088539677;0,8;71,4234945884;0,8;71,2641768799;0,8;71,8220029426
0,9;70,734805384;0,9;70,4710932125;0,9;70,7876257044;0,9;73,5437904011;0,9;72,5712955715;0,9;71,6088539677;0,9;71,4234945884;0,9;71,2641768799;0,9;71,7961445795
1;70,707605048;1;70,4710932125;1;70,8132449021;1;73,5437904011;1;72,5712955715;1;71,6088539677;1;71,4234945884;1;71,2641768799;1;71,7961445795
1,1;70,707605048;1,1;70,4710932125;1,1;70,8132449021;1,1;73,5437904011;1,1;72,5712955715;1,1;71,6088539677;1,1;71,4234945884;1,1;71,2899093665;1,1;71,7686767558
1,2;70,6820110256;1,2;70,4439597484;1,2;70,8132449021;1,2;73,5437904011;1,2;72,5712955715;1,2;71,6088539677;1,2;71,4492648379;1,2;71,2899093665;1,2;71,7686767558
1,3;70,707605048;1,3;70,4710932125;1,3;70,8132449021;1,3;73,5437904011;1,3;72,5712955715;1,3;71,6088539677;1,3;71,4234945884;1,3;71,2899093665;1,3;71,7686767558
1,4;70,707605048;1,4;70,4710932125;1,4;70,8132449021;1,4;73,5437904011;1,4;72,5712955715;1,4;71,6088539677;1,4;71,4234945884;1,4;71,2641768799;1,4;71,7686767558
1,5;70,707605048;1,5;70,4710932125;1,5;70,8132449021;1,5;73,5700580537;1,5;72,5712955715;1,5;71,6088539677;1,5;71,4234945884;1,5;71,2641768799;1,5;71,7686767558
1,6;70,6820110256;1,6;70,4710932125;1,6;70,8132449021;1,6;73,5437904011;1,6;72,5712955715;1,6;71,6088539677;1,6;71,4234945884;1,6;71,2899093665;1,6;71,7961445795
1,7;70,707605048;1,7;70,4710932125;1,7;70,8132449021;1,7;73,5437904011;1,7;72,5452609812;1,7;71,6362816682;1,7;71,4234945884;1,7;71,2899093665;1,7;71,7686767558
1,8;70,707605048;1,8;70,4710932125;1,8;70,8132449021;1,8;73,5437904011;1,8;72,5712955715;1,8;71,6621022684;1,8;71,4234945884;1,8;71,2899093665;1,8;71,7686767558
1,9;70,707605048;1,9;70,4710932125;1,9;70,8132449021;1,9;73,5437904011;1,9;72,5712955715;1,9;71,6895433433;1,9;71,4234945884;1,9;71,2899093665;1,9;71,7961445795
2;70,707605048;2;70,4439597484;2;70,8132449021;2;73,5437904011;2;72,5989640109;2;71,6895433433;2;71,4234945884;2;71,2899093665;2;71,7961445795
2,1;70,707605048;2,1;70,4710932125;2,1;70,8132449021;2,1;73,5437904011;2,1;72,5989640109;2,1;71,6895433433;2,1;71,4492648379;2,1;71,2899093665;2,1;71,8220029426
2,2;70,6820110256;2,2;70,4439597484;2,2;70,8132449021;2,2;73,5437904011;2,2;72,6250111889;2,2;71,6895433433;2,2;71,4492648379;2,2;71,2899093665;2,2;71,7961445795
