"Run 1: Time (s)";"Run 1: Sound Level (dB)";"Run 2: Time (s)";"Run 2: Sound Level (dB)";"Run 3: Time (s)";"Run 3: Sound Level (dB)";"Run 4: Time (s)";"Run 4: Sound Level (dB)";"Run 5: Time (s)";"Run 5: Sound Level (dB)";"Run 6: Time (s)";"Run 6: Sound Level (dB)";"Run 7: Time (s)";"Run 7: Sound Level (dB)";"Run 8: Time (s)";"Run 8: Sound Level (dB)";"Run 9: Time (s)";"Run 9: Sound Level (dB)"
0,1;69,0047252648;0,1;68,1518681882;0,1;70,4439597484;0,1;71,6088539677;0,1;72,1425052661;0,1;72,2235880059;0,1;71,6362816682;0,1;71,077798873;0,1;71,3703627235
0,2;68,9795405319;0,2;68,1768515186;0,2;70,3913085746;0,2;71,5830459552;0,2;72,1425052661;0,2;72,2235880059;0,2;71,6362816682;0,2;71,1050928297;0,2;71,3961203854
0,3;68,9795405319;0,3;68,1768515186;0,3;70,3913085746;0,3;71,5830459552;0,3;72,1425052661;0,3;72,1960131871;0,3;71,6362816682;0,3;71,0521167371;0,3;71,4234945884
0,4;68,9795405319;0,4;68,1768515186;0,4;70,3657900781;0,4;71,6088539677;0,4;72,116571377;0,4;72,2235880059;0,4;71,6362816682;0,4;71,077798873;0,4;71,3961203854
0,5;68,9527884404;0,5;68,1768515186;0,5;70,3657900781;0,5;71,6362816682;0,5;72,116571377;0,5;72,1960131871;0,5;71,6362816682;0,5;71,1050928297;0,5;71,3961203854
0,6;68,9527884404;0,6;68,1768515186;0,6;70,4184286643;0,6;71,6621022684;0,6;72,116571377;0,6;72,2235880059;0,6;71,6362816682;0,6;71,077798873;0,6;71,3961203854
0,7;68,9527884404;0,7;68,1768515186;0,7;70,4184286643;0,7;71,6621022684;0,7;72,116571377;0,7;72,2235880059;0,7;71,6362816682;0,7;71,077798873;0,7;71,3961203854
0,8;68,9527884404;0,8;68,1768515186;0,8;70,4184286643;0,8;71,6621022684;0,8;72,0890233071;0,8;72,2235880059;0,8;71,6362816682;0,8;71,077798873;0,8;71,3961203854
0,9;68,9527884404;0,9;68,1768515186;0,9;70,4439597484;0,9;71,6621022684;0,9;72,116571377;0,9;72,1960131871;0,9;71,6362816682;0,9;71,077798873;0,9;71,3703627235
1;68,9527884404;1;68,1768515186;1;70,4184286643;1;71,6895433433;1;72,0890233071;1;72,1960131871;1;71,6362816682;1;71,077798873;1;71,3703627235
1,1;68,9527884404;1,1;68,1768515186;1,1;70,4184286643;1,1;71,6895433433;1,1;72,116571377;1,1;72,1960131871;1,1;71,6362816682;1,1;71,077798873;1,1;71,3703627235
1,2;68,9527884404;1,2;68,1768515186;1,2;70,4184286643;1,2;71,6895433433;1,2;72,116571377;1,2;72,2235880059;1,2;71,6362816682;1,2;71,077798873;1,2;71,3703627235
1,3;68,9527884404;1,3;68,1518681882;1,3;70,4439597484;1,3;71,6895433433;1,3;72,116571377;1,3;72,1960131871;1,3;71,6362816682;1,3;71,077798873;1,3;71,3703627235
1,4;68,9527884404;1,4;68,1768515186;1,4;70,4439597484;1,4;71,6895433433;1,4;72,116571377;1,4;72,1960131871;1,4;71,6362816682;1,4;71,077798873;1,4;71,3703627235
1,5;68,9527884404;1,5;68,1768515186;1,5;70,4439597484;1,5;71,6895433433;1,5;72,116571377;1,5;72,1960131871;1,5;71,6362816682;1,5;71,077798873;1,5;71,3703627235
1,6;68,9795405319;1,6;68,1768515186;1,6;70,4439597484;1,6;71,6895433433;1,6;72,0890233071;1,6;72,1960131871;1,6;71,6362816682;1,6;71,077798873;1,6;71,3703627235
1,7;68,9795405319;1,7;68,1768515186;1,7;70,4439597484;1,7;71,6895433433;1,7;72,116571377;1,7;72,1960131871;1,7;71,6362816682;1,7;71,077798873;1,7;71,3703627235
1,8;68,9795405319;1,8;68,1518681882;1,8;70,4439597484;1,8;71,7153765311;1,8;72,116571377;1,8;72,1960131871;1,8;71,6088539677;1,8;71,077798873;1,8;71,3703627235
1,9;68,9795405319;1,9;68,1518681882;1,9;70,4439597484;1,9;71,7153765311;1,9;72,116571377;1,9;72,1960131871;1,9;71,6362816682;1,9;71,1050928297;1,9;71,3703627235
2;68,9795405319;2;68,1768515186;2;70,4710932125;2;71,7153765311;2;72,116571377;2;72,1960131871;2;71,6088539677;2;71,077798873;2;71,3703627235
2,1;68,9795405319;2,1;68,1768515186;2,1;70,4439597484;2,1;71,7153765311;2,1;72,116571377;2,1;72,2235880059;2,1;71,6362816682;2,1;71,077798873;2,1;71,3703627235
2,2;68,9795405319;2,2;68,1518681882;2,2;70,4710932125;2,2;71,7153765311;2,2;72,116571377;2,2;72,1960131871;2,2;71,6362816682;2,2;71,077798873;2,2;71,3703627235
2,3;68,9795405319;2,3;68,1518681882;2,3;70,4710932125;2,3;71,7153765311;2,3;72,116571377;2,3;72,2235880059;2,3;71,6088539677;2,3;71,077798873;2,3;71,3703627235
2,4;69,0047252648;2,4;68,1518681882;2,4;70,4710932125;2,4;71,7153765311;2,4;72,1425052661;2,4;72,2495470702;2,4;71,6088539677;2,4;71,077798873;2,4;71,3961203854
2,5;68,9795405319;2,5;68,1518681882;2,5;70,4439597484;2,5;71,7153765311;2,5;72,0890233071;2,5;72,2235880059;2,5;71,6362816682;2,5;71,077798873;2,5;71,3703627235
2,6;68,9795405319;2,6;68,1518681882;2,6;70,4439597484;2,6;71,7153765311;2,6;72,0890233071;2,6;72,2235880059;2,6;71,6362816682;2,6;71,077798873;2,6;71,3961203854
2,7;69,0047252648;2,7;68,1518681882;2,7;70,4710932125;2,7;71,7153765311;2,7;72,116571377;2,7;72,2235880059;2,7;71,6362816682;2,7;71,077798873;2,7;71,3961203854
2,8;69,0047252648;2,8;68,1518681882;2,8;70,4710932125;2,8;71,7153765311;2,8;72,116571377;2,8;72,2235880059;2,8;71,6362816682;2,8;71,077798873;2,8;71,4234945884
2,9;69,0047252648;2,9;68,1518681882;2,9;70,4710932125;2,9;71,7153765311;2,9;72,116571377;2,9;72,2235880059;2,9;71,6362816682;2,9;71,077798873;2,9;71,4234945884
3;69,0047252648;3;68,1518681882;3;70,4710932125;3;71,7153765311;3;72,116571377;3;72,2235880059;3;71,6362816682;3;71,077798873;3;71,4234945884
3,1;69,0047252648;3,1;68,1518681882;3,1;70,4710932125;3,1;71,7153765311;3,1;72,116571377;3,1;72,2235880059;3,1;71,6362816682;3,1;71,077798873;3,1;71,3961203854
3,2;69,0314907307;3,2;68,1518681882;3,2;70,4710932125;3,2;71,7153765311;3,2;72,116571377;3,2;72,1960131871;3,2;71,6362816682;3,2;71,1050928297;3,2;71,3961203854
3,3;69,0047252648;3,3;68,1768515186;3,3;70,4439597484;3,3;71,7153765311;3,3;72,0890233071;3,3;72,2235880059;3,3;71,6362816682;3,3;71,1050928297;3,3;71,4234945884
3,4;69,0047252648;3,4;68,1768515186;3,4;70,4439597484;3,4;71,7153765311;3,4;72,116571377;3,4;72,2235880059;3,4;71,6362816682;3,4;71,077798873;3,4;71,3961203854
3,5;69,0047252648;3,5;68,1768515186;3,5;70,4439597484;3,5;71,7153765311;3,5;72,116571377;3,5;72,2235880059;3,5;71,6362816682;3,5;71,1050928297;3,5;71,3961203854
3,6;69,0047252648;3,6;68,1768515186;3,6;70,4439597484;3,6;71,7153765311;3,6;72,116571377;3,6;72,2235880059;3,6;71,6088539677;3,6;71,1050928297;3,6;71,3961203854
3,7;69,0047252648;3,7;68,1768515186;3,7;70,4439597484;3,7;71,7153765311;3,7;72,116571377;3,7;72,2235880059;3,7;71,6362816682;3,7;71,1050928297;3,7;71,3961203854
3,8;69,0047252648;3,8;68,1768515186;3,8;70,4439597484;3,8;71,7153765311;3,8;72,116571377;3,8;72,2235880059;3,8;71,6362816682;3,8;71,1050928297;3,8;71,3961203854
3,9;69,0047252648;3,9;68,1768515186;3,9;70,4439597484;3,9;71,7153765311;3,9;72,116571377;3,9;72,2235880059;3,9;71,6362816682;3,9;71,1050928297;3,9;71,3961203854
4;69,0047252648;4;68,1518681882;4;70,4439597484;4;71,7153765311;4;72,116571377;4;72,2235880059;4;71,6362816682;4;71,1050928297;4;71,3961203854
4,1;69,0047252648;4,1;68,1518681882;4,1;70,4439597484;4,1;71,7153765311;4,1;72,116571377;4,1;72,2235880059;4,1;71,6362816682;4,1;71,077798873;4,1;71,3961203854
4,2;69,0314907307;4,2;68,1768515186;4,2;70,4439597484;4,2;71,7153765311;4,2;72,1425052661;4,2;72,2495470702;4,2;71,6621022684;4,2;71,077798873;4,2;71,3961203854
4,3;69,0314907307;4,3;68,1768515186;4,3;70,4439597484;4,3;71,7153765311;4,3;72,1425052661;4,3;72,2495470702;4,3;71,6362816682;4,3;71,077798873;4,3;71,4234945884
4,4;69,0314907307;4,4;68,1768515186;4,4;70,4710932125;4,4;71,7153765311;4,4;72,1425052661;4,4;72,2495470702;4,4;71,6362816682;4,4;71,077798873;4,4;71,4234945884
4,5;69,0047252648;4,5;68,1768515186;4,5;70,4710932125;4,5;71,7153765311;4,5;72,1425052661;4,5;72,2235880059;4,5;71,6362816682;4,5;71,1050928297;4,5;71,4234945884
4,6;69,0047252648;4,6;68,1768515186;4,6;70,4710932125;4,6;71,7153765311;4,6;72,116571377;4,6;72,2495470702;4,6;71,6362816682;4,6;71,1050928297;4,6;71,4234945884
4,7;69,0047252648;4,7;68,2034029944;4,7;70,4710932125;4,7;71,7153765311;4,7;72,1425052661;4,7;72,2235880059;4,7;71,6088539677;4,7;71,1050928297;4,7;71,4234945884
4,8;69,0047252648;4,8;68,1768515186;4,8;70,4710932125;4,8;71,7153765311;4,8;72,1425052661;4,8;72,2495470702;4,8;71,6362816682;4,8;71,1050928297;4,8;71,4234945884
4,9;69,0047252648;4,9;68,1768515186;4,9;70,4710932125;4,9;71,7153765311;4,9;72,1425052661;4,9;72,2495470702;4,9;71,6362816682;4,9;71,1050928297;4,9;71,4234945884
5;69,0047252648;5;68,1768515186;5;70,4710932125;5;71,7153765311;5;72,1425052661;5;72,2495470702;5;71,6362816682;5;71,1050928297;5;71,4234945884
