"Run 1: Time (s)";"Run 1: Sound Level (dB)";"Run 2: Time (s)";"Run 2: Sound Level (dB)";"Run 3: Time (s)";"Run 3: Sound Level (dB)";"Run 4: Time (s)";"Run 4: Sound Level (dB)";"Run 5: Time (s)";"Run 5: Sound Level (dB)";"Run 6: Time (s)";"Run 6: Sound Level (dB)";"Run 7: Time (s)";"Run 7: Sound Level (dB)";"Run 8: Time (s)";"Run 8: Sound Level (dB)";"Run 9: Time (s)";"Run 9: Sound Level (dB)"
0,1;70,654824064;0,1;69,2647988174;0,1;69,9980469121;0,1;65,1057762929;0,1;65,6325834236;0,1;68,9795405319;0,1;70,707605048;0,1;72,8956107911;0,1;72,1700667104
0,2;70,707605048;0,2;69,2916311552;0,2;69,9980469121;0,2;65,1557525901;0,2;65,6569434745;0,2;68,9795405319;0,2;70,707605048;0,2;72,9217273918;0,2;72,1700667104
0,3;70,6820110256;0,3;69,2647988174;0,3;69,918616302;0,3;65,1815080875;0,3;65,6569434745;0,3;69,0047252648;0,3;70,707605048;0,3;72,8956107911;0,3;72,1700667104
0,4;70,6820110256;0,4;69,2647988174;0,4;69,918616302;0,4;65,2057548494;0,4;65,6325834236;0,4;69,0047252648;0,4;70,707605048;0,4;72,8956107911;0,4;72,1700667104
0,5;70,6820110256;0,5;69,2916311552;0,5;69,8932110944;0,5;65,2315237211;0,5;65,6325834236;0,5;69,0047252648;0,5;70,707605048;0,5;72,8956107911;0,5;72,1700667104
0,6;70,6820110256;0,6;69,2647988174;0,6;69,8932110944;0,6;65,2557830707;0,6;65,6067075569;0,6;69,0047252648;0,6;70,707605048;0,6;72,8956107911;0,6;72,1960131871
0,7;70,654824064;0,7;69,2395511463;0,7;69,8932110944;0,7;65,2815653168;0,7;65,6067075569;0,7;69,0314907307;0,7;70,707605048;0,7;72,8956107911;0,7;72,1700667104
0,8;70,654824064;0,8;69,2647988174;0,8;69,8932110944;0,8;65,305837254;0,8;65,6067075569;0,8;69,0314907307;0,8;70,707605048;0,8;72,8956107911;0,8;72,1700667104
0,9;70,654824064;0,9;69,2647988174;0,9;69,8932110944;0,9;65,3559173994;0,9;65,5823600937;0,9;69,0314907307;0,9;70,707605048;0,9;72,8956107911;0,9;72,1700667104
1;70,654824064;1;69,2647988174;1;69,918616302;1;65,4060235068;1;65,5823600937;1;69,0314907307;1;70,707605048;1;72,8956107911;1;72,1700667104
1,1;70,6820110256;1,1;69,2647988174;1,1;69,918616302;1,1;65,4318458761;1,1;65,5564976013;1,1;69,0314907307;1,1;70,6820110256;1,1;72,8956107911;1,1;72,1700667104
1,2;70,6820110256;1,2;69,2395511463;1,2;69,918616302;1,2;65,4819913199;1,2;65,5564976013;1,2;69,0314907307;1,2;70,6820110256;1,2;72,8956107911;1,2;72,1700667104
1,3;70,6820110256;1,3;69,2647988174;1,3;69,918616302;1,3;65,5063136078;1,3;65,5321627258;1,3;69,0314907307;1,3;70,6820110256;1,3;72,9217273918;1,3;72,1700667104
1,4;70,6292426293;1,4;69,2916311552;1,4;69,918616302;1,4;65,5321627258;1,4;65,5564976013;1,4;69,0314907307;1,4;70,6820110256;1,4;72,9217273918;1,4;72,1700667104
1,5;70,6020690421;1,5;69,4227350357;1,5;69,918616302;1,5;65,5321627258;1,5;65,5564976013;1,5;69,0314907307;1,5;70,6820110256;1,5;72,8956107911;1,5;72,1700667104
1,6;70,576500195;1,6;69,4227350357;1,6;69,918616302;1,6;65,5823600937;1,6;65,5823600937;1,6;69,0314907307;1,6;70,6820110256;1,6;72,9217273918;1,6;72,1700667104
1,7;70,576500195;1,7;69,3958690593;1,7;69,918616302;1,7;65,6325834236;1,7;65,5823600937;1,7;69,0047252648;1,7;70,6820110256;1,7;72,9494829673;1,7;72,1700667104
1,8;70,576500195;1,8;69,3705897283;1,8;69,8932110944;1,8;65,6067075569;1,8;65,5564976013;1,8;69,0314907307;1,8;70,6820110256;1,8;72,9217273918;1,8;72,1700667104
1,9;70,576500195;1,9;69,3705897283;1,9;69,918616302;1,9;65,6067075569;1,9;65,5564976013;1,9;69,0047252648;1,9;70,6820110256;1,9;72,9217273918;1,9;72,1700667104
2;70,5493399821;2;69,3705897283;2;69,918616302;2;65,5823600937;2;65,5321627258;2;69,0314907307;2;70,654824064;2;72,9217273918;2;72,1700667104
2,1;70,5493399821;2,1;69,3705897283;2,1;69,918616302;2,1;65,6067075569;2,1;65,5063136078;2,1;69,0314907307;2,1;70,654824064;2,1;72,9217273918;2,1;72,1700667104
2,2;70,576500195;2,2;69,3437371263;2,2;69,918616302;2,2;65,5564976013;2,2;65,5063136078;2,2;69,0314907307;2,2;70,654824064;2,2;72,9217273918;2,2;72,1700667104
2,3;70,576500195;2,3;69,3437371263;2,3;69,918616302;2,3;65,5823600937;2,3;65,5063136078;2,3;69,0314907307;2,3;70,654824064;2,3;72,9494829673;2,3;72,1700667104
2,4;70,5493399821;2,4;69,3437371263;2,4;69,9456160222;2,4;65,5823600937;2,4;65,5321627258;2,4;69,0314907307;2,4;70,654824064;2,4;72,9217273918;2,4;72,1700667104
2,5;70,5493399821;2,5;69,3705897283;2,5;69,9456160222;2,5;65,5823600937;2,5;65,5321627258;2,5;69,0314907307;2,5;70,654824064;2,5;72,9217273918;2,5;72,1700667104
2,6;70,5493399821;2,6;69,3437371263;2,6;69,918616302;2,6;65,6067075569;2,6;65,5321627258;2,6;69,0566880512;2,6;70,6292426293;2,6;72,9494829673;2,6;72,1700667104
2,7;70,5493399821;2,7;69,3958690593;2,7;69,918616302;2,7;65,6569434745;2,7;65,5321627258;2,7;69,0314907307;2,7;70,6292426293;2,7;72,9217273918;2,7;72,1700667104
2,8;70,576500195;2,8;69,3437371263;2,8;69,918616302;2,8;65,6828327156;2,8;65,5321627258;2,8;69,0566880512;2,8;70,6292426293;2,8;72,9217273918;2,8;72,1700667104
2,9;70,576500195;2,9;69,3437371263;2,9;69,918616302;2,9;65,6569434745;2,9;65,5321627258;2,9;69,0566880512;2,9;70,6020690421;2,9;72,9217273918;2,9;72,1425052661
3;70,6020690421;3;69,3437371263;3;69,918616302;3;65,6569434745;3;65,5063136078;3;69,0566880512;3;70,6292426293;3;72,9217273918;3;72,1700667104
3,1;70,6292426293;3,1;69,3705897283;3,1;69,918616302;3,1;65,6569434745;3,1;65,5321627258;3,1;69,0314907307;3,1;70,6020690421;3,1;72,9217273918;3,1;72,1700667104
3,2;70,6292426293;3,2;69,3958690593;3,2;69,9456160222;3,2;65,6569434745;3,2;65,5321627258;3,2;69,0314907307;3,2;70,6020690421;3,2;72,9217273918;3,2;72,1700667104
3,3;70,6292426293;3,3;69,3958690593;3,3;69,9456160222;3,3;65,6569434745;3,3;65,5321627258;3,3;69,0047252648;3,3;70,6020690421;3,3;72,9217273918;3,3;72,1700667104
3,4;70,6020690421;3,4;69,3958690593;3,4;69,9456160222;3,4;65,6828327156;3,4;65,5321627258;3,4;69,0314907307;3,4;70,6020690421;3,4;72,9217273918;3,4;72,1700667104
3,5;70,6292426293;3,5;69,3958690593;3,5;69,9456160222;3,5;65,6828327156;3,5;65,5063136078;3,5;69,0314907307;3,5;70,6020690421;3,5;72,9217273918;3,5;72,1700667104
3,6;70,6292426293;3,6;69,3705897283;3,6;69,9456160222;3,6;65,6828327156;3,6;65,5063136078;3,6;69,0314907307;3,6;70,6020690421;3,6;72,9217273918;3,6;72,1700667104
3,7;70,6292426293;3,7;69,3705897283;3,7;69,918616302;3,7;65,7072053541;3,7;65,5321627258;3,7;69,0314907307;3,7;70,576500195;3,7;72,9217273918;3,7;72,1700667104
3,8;70,6292426293;3,8;69,3705897283;3,8;69,9456160222;3,8;65,6828327156;3,8;65,5321627258;3,8;69,0314907307;3,8;70,576500195;3,8;72,9494829673;3,8;72,1700667104
3,9;70,6292426293;3,9;69,3705897283;3,9;69,918616302;3,9;65,6828327156;3,9;65,5321627258;3,9;69,0566880512;3,9;70,576500195;3,9;72,9217273918;3,9;72,1700667104
