"Run 1: Time (s)";"Run 1: Sound Level (dB)";"Run 2: Time (s)";"Run 2: Sound Level (dB)";"Run 3: Time (s)";"Run 3: Sound Level (dB)";"Run 4: Time (s)";"Run 4: Sound Level (dB)";"Run 5: Time (s)";"Run 5: Sound Level (dB)";"Run 6: Time (s)";"Run 6: Sound Level (dB)";"Run 7: Time (s)";"Run 7: Sound Level (dB)";"Run 8: Time (s)";"Run 8: Sound Level (dB)";"Run 9: Time (s)";"Run 9: Sound Level (dB)"
0,1;65,7559689403;0,1;66,5733140727;0,1;66,4182012747;0,1;68,0972384303;0,1;67,7591857717;0,1;67,0092324452;0,1;66,0872910898;0,1;63,219978482;0,1;62,0638109657
0,2;65,7803598881;0,2;66,547188956;0,2;66,4182012747;0,2;68,1237692366;0,2;67,7856286312;0,2;66,9845359608;0,2;66,1117648109;0,2;63,2689650749;0,2;62,0638109657
0,3;65,8322109163;0,3;66,5733140727;0,3;66,4182012747;0,3;68,1237692366;0,3;67,8120783806;0,3;67,0092324452;0,3;66,1117648109;0,3;63,2689650749;0,3;62,0389033232
0,4;65,8825632698;0,4;66,5733140727;0,4;66,4182012747;0,4;68,1237692366;0,4;67,8369785563;0,4;67,0092324452;0,4;66,1117648109;0,4;63,2689650749;0,4;62,0140025705
0,5;65,908512493;0,5;66,5979087116;0,5;66,4442923475;0,5;68,1237692366;0,5;67,8120783806;0,5;67,0354791472;0,5;66,1377748268;0,5;63,2689650749;0,5;62,0638109657
0,6;65,908512493;0,6;66,5979087116;0,6;66,4442923475;0,6;68,1237692366;0,6;67,8120783806;0,6;67,061732739;0,6;66,1637917325;0,6;63,2689650749;0,6;62,0638109657
0,7;65,908512493;0,7;66,5979087116;0,7;66,4703903101;0,7;68,1237692366;0,7;67,8120783806;0,7;67,0354791472;0,7;66,1637917325;0,7;63,2689650749;0,7;62,0872597466
0,8;65,9329415852;0,8;66,6240472026;0,8;66,4442923475;0,8;68,1237692366;0,8;67,8120783806;0,8;67,0864482957;0,8;66,1637917325;0,8;63,2689650749;0,8;62,0389033232
0,9;65,9329415852;0,9;66,6240472026;0,9;66,4442923475;0,9;68,1237692366;0,9;67,8120783806;0,9;67,061732739;0,9;66,1882845259;0,9;63,2452107573;0,9;62,0872597466
1;65,9329415852;1;66,6240472026;1;66,4442923475;1;68,1237692366;1;67,8120783806;1;67,061732739;1;66,1637917325;1;63,2452107573;1;62,0872597466
1,1;65,9329415852;1,1;66,5979087116;1,1;66,4442923475;1,1;68,1237692366;1,1;67,8120783806;1,1;67,061732739;1,1;66,1882845259;1,1;63,2452107573;1,1;62,0872597466
1,2;65,9589041828;1,2;66,6240472026;1,2;66,4442923475;1,2;68,1237692366;1,2;67,7856286312;1,2;67,061732739;1,2;66,1882845259;1,2;63,2452107573;1,2;62,0638109657
1,3;65,9589041828;1,3;66,6240472026;1,3;66,4442923475;1,3;68,1237692366;1,3;67,7591857717;1,3;67,061732739;1,3;66,1637917325;1,3;63,219978482;1,3;62,0872597466
1,4;65,9589041828;1,4;66,5979087116;1,4;66,4442923475;1,4;68,1503069327;1,4;67,7856286312;1,4;67,0354791472;1,4;66,1882845259;1,4;63,1947530966;1,4;62,0872597466
1,5;65,9589041828;1,5;66,6240472026;1,5;66,4442923475;1,5;68,1237692366;1,5;67,7856286312;1,5;67,0864482957;1,5;66,1882845259;1,5;63,1947530966;1,5;62,0638109657
1,6;65,9848736703;1,6;66,6748062946;1,6;66,4442923475;1,6;68,1237692366;1,6;67,7591857717;1,6;67,061732739;1,6;66,1882845259;1,6;63,219978482;1,6;62,0389033232
1,7;65,9848736703;1,7;66,6501925835;1,7;66,4442923475;1,7;68,1503069327;1,7;67,7856286312;1,7;67,0864482957;1,7;66,214314806;1,7;63,1947530966;1,7;62,0638109657
1,8;65,9848736703;1,8;66,6240472026;1,8;66,4442923475;1,8;68,1503069327;1,8;67,7856286312;1,8;67,0864482957;1,8;66,1882845259;1,8;63,219978482;1,8;62,0872597466
1,9;66,0093218347;1,9;66,6501925835;1,9;66,4442923475;1,9;68,1503069327;1,9;67,7856286312;1,9;67,061732739;1,9;66,214314806;1,9;63,219978482;1,9;62,0389033232
2;66,0353046965;2;66,6501925835;2;66,4703903101;2;68,1237692366;2;67,7856286312;2;67,0864482957;2;66,214314806;2;63,219978482;2;62,0389033232
2,1;65,9848736703;2,1;66,6501925835;2,1;66,4442923475;2,1;68,1237692366;2,1;67,7591857717;2,1;67,0864482957;2,1;66,214314806;2,1;63,219978482;2,1;62,0389033232
2,2;65,9848736703;2,2;66,6501925835;2,2;66,4442923475;2,2;68,0972384303;2,2;67,7856286312;2,2;67,1127152618;2,2;66,214314806;2,2;63,219978482;2,2;62,0389033232
2,3;65,9848736703;2,3;66,6240472026;2,3;66,4442923475;2,3;68,1237692366;2,3;67,7343046683;2,3;67,061732739;2,3;66,214314806;2,3;63,1947530966;2,3;62,0389033232
2,4;65,9848736703;2,4;66,6501925835;2,4;66,4442923475;2,4;68,1237692366;2,4;67,7591857717;2,4;67,061732739;2,4;66,240351976;2,4;63,1947530966;2,4;62,0389033232
2,5;65,9848736703;2,5;66,6501925835;2,5;66,4703903101;2,5;68,1237692366;2,5;67,7591857717;2,5;67,0864482957;2,5;66,240351976;2,5;63,1947530966;2,5;62,0638109657
2,6;66,0093218347;2,6;66,6501925835;2,6;66,4703903101;2,6;68,1503069327;2,6;67,7591857717;2,6;67,061732739;2,6;66,240351976;2,6;63,1947530966;2,6;62,0389033232
2,7;66,0093218347;2,7;66,6501925835;2,7;66,4703903101;2,7;68,1237692366;2,7;67,7591857717;2,7;67,0864482957;2,7;66,240351976;2,7;63,1947530966;2,7;62,0872597466
2,8;66,0093218347;2,8;66,6748062946;2,8;66,4703903101;2,8;68,1503069327;2,8;67,7591857717;2,8;67,0864482957;2,8;66,214314806;2,8;63,1947530966;2,8;62,0872597466
2,9;66,0093218347;2,9;66,6501925835;2,9;66,4703903101;2,9;68,1237692366;2,9;67,7591857717;2,9;67,1127152618;2,9;66,240351976;2,9;63,1947530966;2,9;62,0872597466
3;66,0353046965;3;66,6501925835;3;66,4703903101;3;68,1237692366;3;67,7591857717;3;67,0864482957;3;66,240351976;3;63,219978482;3;62,0872597466
3,1;66,0353046965;3,1;66,6501925835;3,1;66,4442923475;3,1;68,1503069327;3,1;67,7591857717;3,1;67,0864482957;3,1;66,240351976;3,1;63,219978482;3,1;62,0872597466
3,2;66,0353046965;3,2;66,6748062946;3,2;66,4703903101;3,2;68,1503069327;3,2;67,7591857717;3,2;67,0864482957;3,2;66,214314806;3,2;63,1947530966;3,2;62,0638109657
3,3;66,0353046965;3,3;66,6748062946;3,3;66,4442923475;3,3;68,1503069327;3,3;67,7591857717;3,3;67,0864482957;3,3;66,240351976;3,3;63,1947530966;3,3;62,0872597466
3,4;66,0353046965;3,4;66,6501925835;3,4;66,4442923475;3,4;68,1503069327;3,4;67,7591857717;3,4;67,0864482957;3,4;66,214314806;3,4;63,1947530966;3,4;62,1121807635
3,5;66,0353046965;3,5;66,6501925835;3,5;66,4442923475;3,5;68,1503069327;3,5;67,7591857717;3,5;67,0864482957;3,5;66,240351976;3,5;63,1947530966;3,5;62,0872597466
3,6;66,0353046965;3,6;66,6501925835;3,6;66,4442923475;3,6;68,1503069327;3,6;67,7591857717;3,6;67,1127152618;3,6;66,2648638415;3,6;63,1710178512;3,6;62,0872597466
3,7;66,0093218347;3,7;66,6501925835;3,7;66,4442923475;3,7;68,1503069327;3,7;67,7591857717;3,7;67,0864482957;3,7;66,240351976;3,7;63,1947530966;3,7;62,0872597466
3,8;66,0353046965;3,8;66,6501925835;3,8;66,4442923475;3,8;68,1503069327;3,8;67,7591857717;3,8;67,1127152618;3,8;66,240351976;3,8;63,1947530966;3,8;62,0872597466
3,9;66,0353046965;3,9;66,6240472026;3,9;66,4442923475;3,9;68,1503069327;3,9;67,7591857717;3,9;67,1127152618;3,9;66,240351976;3,9;63,1947530966;3,9;62,1121807635
4;66,0612944482;4;66,6240472026;4;66,4442923475;4;68,1237692366;4;67,7591857717;4;67,1127152618;4;66,240351976;4;63,1710178512;4;62,0872597466
4,1;66,0353046965;4,1;66,6501925835;4,1;66,4182012747;4,1;68,1503069327;4,1;67,7856286312;4,1;67,1127152618;4,1;66,240351976;4,1;63,1947530966;4,1;62,1121807635
4,2;66,0612944482;4,2;66,6501925835;4,2;66,4442923475;4,2;68,1752898817;4,2;67,7591857717;4,2;67,0864482957;4,2;66,2648638415;4,2;63,1710178512;4,2;62,1371086703
4,3;66,0353046965;4,3;66,6501925835;4,3;66,4442923475;4,3;68,1752898817;4,3;67,7856286312;4,3;67,0864482957;4,3;66,240351976;4,3;63,1710178512;4,3;62,1121807635
4,4;66,0353046965;4,4;66,6501925835;4,4;66,4703903101;4,4;68,1752898817;4,4;67,7856286312;4,4;67,0864482957;4,4;66,240351976;4,4;63,1710178512;4,4;62,1121807635
4,5;66,0612944482;4,5;66,6501925835;4,5;66,4442923475;4,5;68,1237692366;4,5;67,7856286312;4,5;67,0864482957;4,5;66,240351976;4,5;63,1710178512;4,5;62,1620434669
4,6;66,0612944482;4,6;66,6501925835;4,6;66,4442923475;4,6;68,1503069327;4,6;67,7856286312;4,6;67,0864482957;4,6;66,240351976;4,6;63,1458058401;4,6;62,1121807635
4,7;66,0612944482;4,7;66,6501925835;4,7;66,4442923475;4,7;68,1752898817;4,7;67,7856286312;4,7;67,0864482957;4,7;66,240351976;4,7;63,1458058401;4,7;62,0872597466
4,8;66,0612944482;4,8;66,6501925835;4,8;66,4442923475;4,8;68,1752898817;4,8;67,7856286312;4,8;67,0864482957;4,8;66,240351976;4,8;63,1458058401;4,8;62,0872597466
4,9;66,0612944482;4,9;66,6501925835;4,9;66,4442923475;4,9;68,1752898817;4,9;67,7591857717;4,9;67,0864482957;4,9;66,240351976;4,9;63,1458058401;4,9;62,1121807635
5;66,0612944482;5;66,6501925835;5;66,4442923475;5;68,1752898817;5;67,7591857717;5;67,1127152618;5;66,240351976;5;63,1458058401;5;62,0872597466
