"Run 1: Time (s)";"Run 1: Sound Level (dB)";"Run 2: Time (s)";"Run 2: Sound Level (dB)";"Run 3: Time (s)";"Run 3: Sound Level (dB)";"Run 4: Time (s)";"Run 4: Sound Level (dB)";"Run 5: Time (s)";"Run 5: Sound Level (dB)";"Run 6: Time (s)";"Run 6: Sound Level (dB)";"Run 7: Time (s)";"Run 7: Sound Level (dB)";"Run 8: Time (s)";"Run 8: Sound Level (dB)";"Run 9: Time (s)";"Run 9: Sound Level (dB)"
0,1;56,2712653452;0,1;60,8008610582;0,1;65,908512493;0,1;66,3675735663;0,1;67,8369785563;0,1;68,619752821;0,1;69,1181320888;0,1;68,2799722684;0,1;66,7779424978
0,2;56,2261384419;0,2;60,8485479757;0,2;65,8566209363;0,2;66,3936512647;0,2;67,8634416801;0,2;68,619752821;0,2;69,1181320888;0,2;68,2799722684;0,2;66,8041284071
0,3;56,2712653452;0,3;60,8254238037;0,3;65,8322109163;0,3;66,3415027578;0,3;67,8634416801;0,3;68,619752821;0,3;69,0913443322;0,3;68,2799722684;0,3;66,8041284071
0,4;56,2493823922;0,4;60,8254238037;0,4;65,8566209363;0,4;66,3415027578;0,4;67,8634416801;0,4;68,619752821;0,4;69,0913443322;0,4;68,3065504929;0,4;66,8041284071
0,5;56,2493823922;0,5;60,7763052025;0,5;65,8322109163;0,5;66,3415027578;0,5;67,8369785563;0,5;68,6464189922;0,5;69,0913443322;0,5;68,3315715863;0,5;66,8041284071
0,6;56,2493823922;0,6;60,7532001027;0,6;65,8566209363;0,6;66,3675735663;0,6;67,8369785563;0,6;68,619752821;0,6;69,0913443322;0,6;68,3065504929;0,6;66,8041284071
0,7;56,2493823922;0,7;60,7286576213;0,7;65,8322109163;0,7;66,3415027578;0,7;67,8369785563;0,7;68,619752821;0,7;69,0913443322;0,7;68,3065504929;0,7;66,8041284071
0,8;56,3177868845;0,8;60,7763052025;0,8;65,8322109163;0,8;66,3415027578;0,8;67,8369785563;0,8;68,619752821;0,8;69,0913443322;0,8;68,3065504929;0,8;66,8041284071
0,9;56,1578138145;0,9;60,8008610582;0,9;65,8322109163;0,9;66,3675735663;0,9;67,8369785563;0,9;68,619752821;0,9;69,0661386199;0,9;68,3065504929;0,9;66,8041284071
1;56,1796712107;1;60,8254238037;1;65,8566209363;1;66,3415027578;1;67,8369785563;1;68,619752821;1;69,0913443322;1;68,3065504929;1;66,8041284071
1,1;56,2029013814;1,1;60,7532001027;1,1;65,8322109163;1,1;66,3415027578;1,1;67,8369785563;1,1;68,619752821;1,1;69,0913443322;1,1;68,3065504929;1,1;66,8303212062
1,2;56,2029013814;1,2;60,7763052025;1,2;65,8322109163;1,2;66,3675735663;1,2;67,8369785563;1,2;68,619752821;1,2;69,0913443322;1,2;68,3065504929;1,2;66,8041284071
1,3;56,1796712107;1,3;60,7763052025;1,3;65,8322109163;1,3;66,3675735663;1,3;67,8634416801;1,3;68,619752821;1,3;69,0913443322;1,3;68,3065504929;1,3;66,8041284071
1,4;56,2493823922;1,4;60,7763052025;1,4;65,8322109163;1,4;66,3415027578;1,4;67,8369785563;1,4;68,6464189922;1,4;69,0913443322;1,4;68,3315715863;1,4;66,8303212062
