"Run 1: Time (s)";"Run 1: Sound Level (dB)";"Run 2: Time (s)";"Run 2: Sound Level (dB)";"Run 3: Time (s)";"Run 3: Sound Level (dB)";"Run 4: Time (s)";"Run 4: Sound Level (dB)";"Run 5: Time (s)";"Run 5: Sound Level (dB)";"Run 6: Time (s)";"Run 6: Sound Level (dB)";"Run 7: Time (s)";"Run 7: Sound Level (dB)";"Run 8: Time (s)";"Run 8: Sound Level (dB)";"Run 9: Time (s)";"Run 9: Sound Level (dB)"
0,1;66,1637917325;0,1;67,1637237467;0,1;66,4703903101;0,1;63,1710178512;0,1;53,911336728;0,1;54,3329105384;0,1;64,9953149037;0,1;69,5128653534;0,1;70,8148463046
0,2;66,1637917325;0,2;67,1127152618;0,2;66,4964951625;0,2;63,1458058401;0,2;54,0214857398;0,2;54,3102416865;0,2;64,9696092563;0,2;69,5128653534;0,2;70,8148463046
0,3;66,1637917325;0,3;67,1389891178;0,3;66,4964951625;0,3;63,1710178512;0,3;54,044066645;0,3;54,3769344485;0,3;64,9953149037;0,3;69,5397613208;0,3;70,8148463046
0,4;66,1882845259;0,4;67,1389891178;0,4;66,4964951625;0,4;63,1947530966;0,4;53,9551112452;0,4;54,3102416865;0,4;65,0210274409;0,4;69,5397613208;0,4;70,8148463046
0,5;66,1882845259;0,5;67,1389891178;0,5;66,4964951625;0,5;63,219978482;0,5;53,9776718862;0,5;54,3102416865;0,5;65,0210274409;0,5;69,5128653534;0,5;70,7876257044
0,6;66,1882845259;0,6;67,1389891178;0,6;66,4964951625;0,6;63,2452107573;0,6;53,8887963513;0,6;54,3555862801;0,6;65,0210274409;0,6;69,4875577955;0,6;70,7876257044
0,7;66,1637917325;0,7;67,1389891178;0,7;66,5210707292;0,7;63,219978482;0,7;53,9338839946;0,7;54,3555862801;0,7;65,0210274409;0,7;69,5128653534;0,7;70,7876257044
0,8;66,1637917325;0,8;67,1127152618;0,8;66,5210707292;0,8;63,219978482;0,8;53,9338839946;0,8;54,3769344485;0,8;65,0210274409;0,8;69,4875577955;0,8;70,8148463046
0,9;66,1637917325;0,9;67,1127152618;0,9;66,5210707292;0,9;63,2452107573;0,9;53,911336728;0,9;54,3555862801;0,9;65,0210274409;0,9;69,4875577955;0,9;70,8148463046
1;66,1882845259;1;67,1127152618;1;66,5210707292;1;63,2452107573;1;53,911336728;1;54,3996235646;1;65,0210274409;1;69,4875577955;1;70,8148463046
1,1;66,1882845259;1,1;67,1127152618;1,1;66,547188956;1,1;63,2689650749;1,1;53,8887963513;1,1;54,3329105384;1,1;65,0452337697;1,1;69,4606752024;1,1;70,7876257044
1,2;66,1882845259;1,2;67,1127152618;1,2;66,547188956;1,2;63,2689650749;1,2;53,8675881729;1,2;54,4223195705;1,2;64,9953149037;1,2;69,5128653534;1,2;70,8148463046
1,3;66,1882845259;1,3;67,1389891178;1,3;66,547188956;1,3;63,2452107573;1,3;53,8675881729;1,3;54,4223195705;1,3;65,0452337697;1,3;69,4875577955;1,3;70,8148463046
1,4;66,1637917325;1,4;67,1389891178;1,4;66,5210707292;1,4;63,2689650749;1,4;53,911336728;1,4;54,3996235646;1,4;65,0452337697;1,4;69,4875577955;1,4;70,8148463046
1,5;66,1882845259;1,5;67,1389891178;1,5;66,547188956;1,5;63,2452107573;1,5;53,8887963513;1,5;54,3769344485;1,5;65,0210274409;1,5;69,4875577955;1,5;70,8148463046
1,6;66,1882845259;1,6;67,1389891178;1,6;66,5210707292;1,6;63,2452107573;1,6;53,9551112452;1,6;54,3329105384;1,6;65,0452337697;1,6;69,5128653534;1,6;70,8148463046
1,7;66,1882845259;1,7;67,1389891178;1,7;66,5210707292;1,7;63,2452107573;1,7;53,8450611705;1,7;54,3555862801;1,7;65,0452337697;1,7;69,5128653534;1,7;70,8148463046
1,8;66,1882845259;1,8;67,1637237467;1,8;66,547188956;1,8;63,219978482;1,8;53,8450611705;1,8;54,3329105384;1,8;65,0210274409;1,8;69,5128653534;1,8;70,8148463046
1,9;66,1882845259;1,9;67,1389891178;1,9;66,547188956;1,9;63,2452107573;1,9;53,8675881729;1,9;54,2889125903;1,9;65,0210274409;1,9;69,4875577955;1,9;70,8148463046
2;66,1882845259;2;67,1637237467;2;66,547188956;2;63,2452107573;2;53,8450611705;2;54,3769344485;2;65,0210274409;2;69,5128653534;2;70,8148463046
2,1;66,1882845259;2,1;67,1389891178;2,1;66,547188956;2,1;63,219978482;2,1;53,8013519518;2,1;54,3555862801;2,1;65,0210274409;2,1;69,4875577955;2,1;70,8148463046
2,2;66,214314806;2,2;67,1389891178;2,2;66,547188956;2,2;63,2452107573;2,2;53,7563453653;2,2;54,3102416865;2,2;65,0210274409;2,2;69,5128653534;2,2;70,8148463046
2,3;66,1882845259;2,3;67,1389891178;2,3;66,547188956;2,3;63,219978482;2,3;53,822541058;2,3;54,2662571128;2,3;65,0452337697;2,3;69,4875577955;2,3;70,8148463046
2,4;66,1882845259;2,4;67,1389891178;2,4;66,5733140727;2,4;63,2452107573;2,4;53,9338839946;2,4;54,3329105384;2,4;65,0452337697;2,4;69,4875577955;2,4;70,8148463046
2,5;66,214314806;2,5;67,1637237467;2,5;66,5733140727;2,5;63,219978482;2,5;53,8013519518;2,5;54,3102416865;2,5;65,0709596813;2,5;69,4875577955;2,5;70,8420737947
