"Run 1: Time (s)";"Run 1: Sound Level (dB)";"Run 2: Time (s)";"Run 2: Sound Level (dB)";"Run 3: Time (s)";"Run 3: Sound Level (dB)";"Run 4: Time (s)";"Run 4: Sound Level (dB)";"Run 5: Time (s)";"Run 5: Sound Level (dB)";"Run 6: Time (s)";"Run 6: Sound Level (dB)";"Run 7: Time (s)";"Run 7: Sound Level (dB)";"Run 8: Time (s)";"Run 8: Sound Level (dB)";"Run 9: Time (s)";"Run 9: Sound Level (dB)"
0,1;65,8322109163;0,1;68,0722745535;0,1;69,3026817675;0,1;68,0972384303;0,1;68,1503069327;0,1;67,0354791472;0,1;60,1517418246;0,1;66,4703903101;0,1;69,7520060209
0,2;65,8062819573;0,2;68,1237692366;0,2;69,3026817675;0,2;68,0972384303;0,2;68,1752898817;0,2;67,0864482957;0,2;60,1517418246;0,2;66,4442923475;0,2;69,7520060209
0,3;65,8322109163;0,3;68,1752898817;0,3;69,3026817675;0,3;68,0972384303;0,3;68,1752898817;0,3;67,0864482957;0,3;60,176121787;0,3;66,4182012747;0,3;69,7520060209
0,4;65,8566209363;0,4;68,1503069327;0,4;69,3295238321;0,4;68,0972384303;0,4;68,1752898817;0,4;67,0864482957;0,4;60,2234672644;0,4;66,4182012747;0,4;69,7520060209
0,5;65,8322109163;0,5;68,1503069327;0,5;69,3295238321;0,5;68,0972384303;0,5;68,1752898817;0,5;67,061732739;0,5;60,3196727955;0,5;66,4182012747;0,5;69,7773772799
0,6;65,8322109163;0,6;68,1752898817;0,6;69,3026817675;0,6;68,0972384303;0,6;68,1752898817;0,6;67,061732739;0,6;60,3441001761;0,6;66,4182012747;0,6;69,8043409299
0,7;65,8322109163;0,7;68,2018409522;0,7;69,3295238321;0,7;68,1237692366;0,7;68,2018409522;0,7;67,061732739;0,7;60,3685344466;0,7;66,4182012747;0,7;69,7773772799
0,8;65,7803598881;0,8;68,1752898817;0,8;69,3026817675;0,8;68,1503069327;0,8;68,2018409522;0,8;67,0354791472;0,8;60,3915377008;0,8;66,3936512647;0,8;69,8043409299
0,9;65,7300602455;0,9;68,1752898817;0,9;69,3547932456;0,9;68,1237692366;0,9;68,2018409522;0,9;67,061732739;0,9;60,4159853456;0,9;66,4182012747;0,9;69,8043409299
1;65,7041584405;1;68,1752898817;1;69,3295238321;1;68,1237692366;1;68,2018409522;1;67,0354791472;1;60,4159853456;1;66,3675735663;1;69,8043409299
1,1;65,7041584405;1,1;68,1503069327;1,1;69,3295238321;1,1;68,1503069327;1,1;68,2018409522;1,1;66,9845359608;1,1;60,4159853456;1,1;66,3936512647;1,1;69,7773772799
1,2;65,6797865649;1,2;68,1503069327;1,2;69,3295238321;1,2;68,1503069327;1,2;68,2018409522;1,2;66,9583026332;1,2;60,4159853456;1,2;66,3675735663;1,2;69,7773772799
