"Run 1: Time (s)";"Run 1: Sound Level (dB)";"Run 2: Time (s)";"Run 2: Sound Level (dB)";"Run 3: Time (s)";"Run 3: Sound Level (dB)";"Run 4: Time (s)";"Run 4: Sound Level (dB)";"Run 5: Time (s)";"Run 5: Sound Level (dB)";"Run 6: Time (s)";"Run 6: Sound Level (dB)";"Run 7: Time (s)";"Run 7: Sound Level (dB)";"Run 8: Time (s)";"Run 8: Sound Level (dB)";"Run 9: Time (s)";"Run 9: Sound Level (dB)"
0,1;66,3675735663;0,1;66,4964951625;0,1;68,384761674;0,1;68,0972384303;0,1;65,1209178838;0,1;60,6319984578;0,1;51,0477735314;0,1;62,9236455182;0,1;66,8303212062
0,2;66,3675735663;0,2;66,5210707292;0,2;68,384761674;0,2;68,0972384303;0,2;65,1466640596;0,2;60,6089315024;0,2;50,9205340251;0,2;62,9236455182;0,2;66,8303212062
0,3;66,3675735663;0,3;66,547188956;0,3;68,384761674;0,3;68,0972384303;0,3;65,1209178838;0,3;60,6319984578;0,3;50,9841239779;0,3;62,8985011896;0,3;66,8303212062
0,4;66,3415027578;0,4;66,5210707292;0,4;68,3581631852;0,4;68,0972384303;0,4;65,1209178838;0,4;60,6089315024;0,4;50,9841239779;0,4;62,8733637509;0,4;66,8303212062
0,5;66,3415027578;0,5;66,5210707292;0,5;68,3581631852;0,5;68,1237692366;0,5;65,1724171252;0,5;60,6089315024;0,5;50,9624967068;0,5;62,8985011896;0,5;66,8303212062
0,6;66,3415027578;0,6;66,547188956;0,6;68,3581631852;0,6;68,0972384303;0,6;65,1466640596;0,6;60,5844295495;0,6;50,9841239779;0,6;62,8985011896;0,6;66,8303212062
0,7;66,3675735663;0,7;66,547188956;0,7;68,3581631852;0,7;68,1237692366;0,7;65,1724171252;0,7;60,6089315024;0,7;50,9421479219;0,7;62,8497112789;0,7;66,8549795463
0,8;66,3415027578;0,8;66,5733140727;0,8;68,384761674;0,8;68,1237692366;0,8;65,1466640596;0,8;60,6089315024;0,8;50,9205340251;0,8;62,8733637509;0,8;66,8303212062
0,9;66,3415027578;0,9;66,547188956;0,9;68,3581631852;0,9;68,1237692366;0,9;65,1466640596;0,9;60,6089315024;0,9;50,8785973055;0,9;62,8733637509;0,9;66,8303212062
1;66,3415027578;1;66,547188956;1;68,384761674;1;68,1237692366;1;65,1466640596;1;60,6319984578;1;50,8785973055;1;62,8985011896;1;66,8303212062
