"Run 1: Time (s)";"Run 1: Sound Level (dB)";"Run 2: Time (s)";"Run 2: Sound Level (dB)";"Run 3: Time (s)";"Run 3: Sound Level (dB)";"Run 4: Time (s)";"Run 4: Sound Level (dB)";"Run 5: Time (s)";"Run 5: Sound Level (dB)";"Run 6: Time (s)";"Run 6: Sound Level (dB)";"Run 7: Time (s)";"Run 7: Sound Level (dB)";"Run 8: Time (s)";"Run 8: Sound Level (dB)";"Run 9: Time (s)";"Run 9: Sound Level (dB)"
0,1;64,5667832623;0,1;64,9454219997;0,1;67,9678046073;0,1;67,7591857717;0,1;66,8303212062;0,1;68,3581631852;0,1;68,2799722684;0,1;66,4964951625;0,1;67,6565905565
0,2;64,5923806987;0,2;64,9696092563;0,2;67,9148309415;0,2;67,7591857717;0,2;66,8303212062;0,2;68,384761674;0,2;68,2799722684;0,2;66,4703903101;0,2;67,6037790044
0,3;64,5923806987;0,3;64,9696092563;0,3;67,9148309415;0,3;67,7591857717;0,3;66,8303212062;0,3;68,3581631852;0,3;68,2799722684;0,3;66,4964951625;0,3;67,6037790044
0,4;64,5923806987;0,4;64,9953149037;0,4;67,9148309415;0,4;67,7591857717;0,4;66,8549795463;0,4;68,3581631852;0,4;68,2799722684;0,4;66,5210707292;0,4;67,6037790044
0,5;64,5923806987;0,5;64,9953149037;0,5;67,9148309415;0,5;67,7591857717;0,5;66,8303212062;0,5;68,3581631852;0,5;68,3065504929;0,5;66,4964951625;0,5;67,6037790044
0,6;64,5667832623;0,6;64,9953149037;0,6;67,9148309415;0,6;67,7591857717;0,6;66,8549795463;0,6;68,3581631852;0,6;68,3065504929;0,6;66,4964951625;0,6;67,6037790044
0,7;64,5667832623;0,7;64,9696092563;0,7;67,9148309415;0,7;67,7856286312;0,7;66,8549795463;0,7;68,384761674;0,7;68,2799722684;0,7;66,4964951625;0,7;67,6301813355
0,8;64,5426978512;0,8;65,0210274409;0,8;67,9148309415;0,8;67,7591857717;0,8;66,8303212062;0,8;68,384761674;0,8;68,2799722684;0,8;66,4964951625;0,8;67,6037790044
0,9;64,5667832623;0,9;64,9953149037;0,9;67,9148309415;0,9;67,7343046683;0,9;66,8549795463;0,9;68,384761674;0,9;68,2534009337;0,9;66,4964951625;0,9;67,6037790044
1;64,5667832623;1;64,9953149037;1;67,9148309415;1;67,7343046683;1;66,8549795463;1;68,3581631852;1;68,3065504929;1;66,4964951625;1;67,6037790044
