"Run 1: Time (s)";"Run 1: Sound Level (dB)";"Run 2: Time (s)";"Run 2: Sound Level (dB)";"Run 3: Time (s)";"Run 3: Sound Level (dB)";"Run 4: Time (s)";"Run 4: Sound Level (dB)";"Run 5: Time (s)";"Run 5: Sound Level (dB)";"Run 6: Time (s)";"Run 6: Sound Level (dB)";"Run 7: Time (s)";"Run 7: Sound Level (dB)";"Run 8: Time (s)";"Run 8: Sound Level (dB)";"Run 9: Time (s)";"Run 9: Sound Level (dB)"
0,1;60,7041220298;0,1;60,5844295495;0,1;56,8906016637;0,1;61,4300907844;0,1;58,4931934112;0,1;64,8442041503;0,1;65,9329415852;0,1;69,1969595404;0,1;67,8899116937
0,2;60,6810360022;0,2;60,6319984578;0,2;56,6840757809;0,2;60,8731240957;0,2;58,2587126007;0,2;64,8698761591;0,2;65,9589041828;0,2;69,1701515197;0,2;67,8899116937
0,3;60,6565137851;0,3;60,6565137851;0,3;56,5453172069;0,3;60,4404398802;0,3;58,1662268455;0,3;64,9197297267;0,3;65,9848736703;0,3;69,0913443322;0,3;67,8899116937
0,4;60,6565137851;0,4;60,6810360022;0,4;56,3862509774;0,4;60,2966886135;0,4;58,1186231971;0,4;64,8185390314;0,4;65,9589041828;0,4;68,9874101053;0,4;67,9148309415
0,5;60,6319984578;0,5;60,7041220298;0,5;56,4081720748;0,5;60,2722746073;0,5;58,0724460113;0,5;64,8185390314;0,5;66,0093218347;0,5;68,9339087593;0,5;67,8899116937
0,6;60,6319984578;0,6;60,6565137851;0,6;56,4767148405;0,6;60,2966886135;0,6;58,0962310163;0,6;64,7430933198;0,6;65,9589041828;0,6;68,9087411913;0,6;67,8899116937
0,7;60,6565137851;0,7;60,7286576213;0,7;56,6373378197;0,7;60,2966886135;0,7;58,1186231971;0,7;64,7687381746;0,7;65,9589041828;0,7;68,8820073376;0,7;67,8899116937
0,8;60,6089315024;0,8;60,7763052025;0,8;56,7294654515;0,8;60,3196727955;0,8;58,0962310163;0,8;64,7687381746;0,8;65,9589041828;0,8;68,8552803737;0,8;67,8899116937
0,9;60,6319984578;0,9;60,8254238037;0,9;56,8217001021;0,9;60,3196727955;0,9;58,0962310163;0,9;64,7430933198;0,9;65,9329415852;0,9;68,8285602997;0,9;67,8899116937
1;60,5844295495;1;60,8254238037;1;56,8437421173;1;60,3196727955;1;58,0962310163;1;64,7430933198;1;65,908512493;1;68,8285602997;1;67,8899116937
1,1;60,5844295495;1,1;60,8254238037;1,1;56,8906016637;1,1;60,3441001761;1,1;58,1186231971;1,1;64,7430933198;1,1;65,908512493;1,1;68,8034182885;1,1;67,9148309415
1,2;60,6089315024;1,2;60,8485479757;1,2;56,9126627511;1,2;60,3441001761;1,2;58,1186231971;1,2;64,717455355;1,2;65,9329415852;1,2;68,8034182885;1,2;67,9148309415
1,3;60,5844295495;1,3;60,8485479757;1,3;56,9126627511;1,3;60,3685344466;1,3;58,1662268455;1,3;64,717455355;1,3;65,908512493;1,3;68,7767115889;1,3;67,9148309415
1,4;60,5599344864;1,4;60,8731240957;1,4;56,9126627511;1,4;60,3915377008;1,4;58,0962310163;1,4;64,717455355;1,4;65,9329415852;1,4;68,7767115889;1,4;67,9148309415
1,5;60,5599344864;1,5;60,8485479757;1,5;56,9361093436;1,5;60,3685344466;1,5;58,1186231971;1,5;64,717455355;1,5;65,9329415852;1,5;68,7767115889;1,5;67,9148309415
1,6;60,5844295495;1,6;60,8254238037;1,6;56,9126627511;1,6;60,4159853456;1,6;58,1186231971;1,6;64,717455355;1,6;65,9329415852;1,6;68,7767115889;1,6;67,9148309415
1,7;60,6089315024;1,7;60,8485479757;1,7;56,9126627511;1,7;60,3915377008;1,7;58,1186231971;1,7;64,6933317995;1,7;65,9329415852;1,7;68,750011779;1,7;67,9148309415
1,8;60,5844295495;1,8;60,8485479757;1,8;56,9126627511;1,8;60,3915377008;1,8;58,0962310163;1,8;64,717455355;1,8;65,9329415852;1,8;68,750011779;1,8;67,9148309415
1,9;60,5844295495;1,9;60,8485479757;1,9;56,9595628259;1,9;60,4159853456;1,9;58,1186231971;1,9;64,717455355;1,9;65,9329415852;1,9;68,750011779;1,9;67,9148309415
2;60,5844295495;2;60,8485479757;2;56,9361093436;2;60,4159853456;2;58,1662268455;2;64,717455355;2;65,9329415852;2;68,750011779;2;67,8899116937
2,1;60,5599344864;2,1;60,8254238037;2,1;56,9126627511;2,1;60,4159853456;2,1;58,1662268455;2,1;64,7430933198;2,1;65,908512493;2,1;68,750011779;2,1;67,8899116937
2,2;60,5844295495;2,2;60,8485479757;2,2;56,8906016637;2,2;60,4159853456;2,2;58,1662268455;2,2;64,6933317995;2,2;65,8825632698;2,2;68,750011779;2,2;67,9148309415
2,3;60,5844295495;2,3;60,8254238037;2,3;56,9361093436;2,3;60,4159853456;2,3;58,1886380986;2,3;64,717455355;2,3;65,8825632698;2,3;68,750011779;2,3;67,9148309415
2,4;60,5844295495;2,4;60,8485479757;2,4;56,9126627511;2,4;60,5599344864;2,4;58,1662268455;2,4;64,6933317995;2,4;65,8566209363;2,4;68,750011779;2,4;67,8899116937
2,5;60,5599344864;2,5;60,7763052025;2,5;56,9126627511;2,5;60,7763052025;2,5;58,2124567421;2,5;64,6933317995;2,5;65,8566209363;2,5;68,7248888401;2,5;67,8899116937
2,6;60,5844295495;2,6;60,8008610582;2,6;56,9595628259;2,6;60,9700500078;2,6;58,2362822755;2,6;64,717455355;2,6;65,8322109163;2,6;68,7248888401;2,6;67,8899116937
2,7;60,6089315024;2,7;60,8254238037;2,7;56,9361093436;2,7;61,0178289726;2,7;58,2587126007;2,7;64,6933317995;2,7;65,8062819573;2,7;68,7248888401;2,7;67,8899116937
2,8;60,6089315024;2,8;60,8254238037;2,8;56,9361093436;2,8;61,0424525108;2,8;58,1886380986;2,8;64,6933317995;2,8;65,8062819573;2,8;68,7248888401;2,8;67,9148309415
2,9;60,5844295495;2,9;60,7763052025;2,9;56,9126627511;2,9;61,0670829389;2,9;58,2124567421;2,9;64,6933317995;2,9;65,8062819573;2,9;68,7248888401;2,9;67,9148309415
3;60,5844295495;3;60,8008610582;3;56,8671684456;3;61,1149146144;3;58,1886380986;3;64,717455355;3;65,8062819573;3;68,7248888401;3;67,8899116937
3,1;60,5599344864;3,1;60,8008610582;3,1;56,8671684456;3,1;61,090270812;3,1;58,1886380986;3,1;64,717455355;3,1;65,8062819573;3,1;68,7248888401;3,1;67,8899116937
3,2;60,5599344864;3,2;60,7532001027;3,2;56,8906016637;3,2;61,090270812;3,2;58,2124567421;3,2;64,717455355;3,2;65,8062819573;3,2;68,750011779;3,2;67,8899116937
