"Run 1: Time (s)";"Run 1: Sound Level (dB)";"Run 2: Time (s)";"Run 2: Sound Level (dB)";"Run 3: Time (s)";"Run 3: Sound Level (dB)";"Run 4: Time (s)";"Run 4: Sound Level (dB)";"Run 5: Time (s)";"Run 5: Sound Level (dB)";"Run 6: Time (s)";"Run 6: Sound Level (dB)";"Run 7: Time (s)";"Run 7: Sound Level (dB)";"Run 8: Time (s)";"Run 8: Sound Level (dB)";"Run 9: Time (s)";"Run 9: Sound Level (dB)"
0,1;54,4223195705;0,1;52,0975438024;0,1;55,5903077355;0,1;54,7126326911;0,1;59,2006251281;0,1;59,769736884;0,1;63,9904178536;0,1;64,6420895083;0,1;63,3937753715
0,2;54,4663961914;0,2;52,0109603888;0,2;55,5903077355;0,2;54,7796842489;0,2;59,2006251281;0,2;59,7468991765;0,2;63,8408996292;0,2;64,6420895083;0,2;63,3937753715
0,3;54,5118356215;0,3;51,9244839941;0,3;55,5672599428;0,3;54,7796842489;0,3;59,2715554954;0,3;59,7468991765;0,3;63,7916109326;0,3;64,6420895083;0,3;63,3937753715
0,4;54,5332284189;0,4;51,9038487447;0,4;55,6350672367;0,4;54,8024953556;0,4;59,2956853972;0,4;59,7940086354;0,4;63,766229918;0,4;64,667707209;0,4;63,3937753715
0,5;54,5118356215;0,5;51,9038487447;0,5;55,5442190399;0,5;54,8024953556;0,5;59,2956853972;0,5;59,7940086354;0,5;63,766229918;0,5;64,6420895083;0,5;63,3685025678
0,6;54,4891124615;0,6;51,9244839941;0,6;55,5225397781;0,6;54,8024953556;0,6;59,3425454632;0,6;59,8411440564;0,6;63,766229918;0,6;64,6420895083;0,6;63,3937753715
0,7;54,4663961914;0,7;51,9890084849;0,7;55,453477862;0,7;54,8467954074;0,7;59,3425454632;0,7;59,8182872767;0,7;63,7423481981;0,7;64,6420895083;0,7;63,3685025678
0,8;54,4436868111;0,8;51,9464156338;0,8;55,5225397781;0,8;54,8467954074;0,8;59,3894314913;0,8;59,769736884;0,8;63,7423481981;0,8;64,6933317995;0,8;63,3685025678
0,9;54,4223195705;0,9;52,0109603888;0,9;55,453477862;0,9;54,8467954074;0,9;59,3894314913;0,9;59,8411440564;0,9;63,7423481981;0,9;64,6933317995;0,9;63,3685025678
1;54,4436868111;1;51,9683541633;1;55,4764916109;1;54,8239709263;1;59,3894314913;1;59,7940086354;1;63,5917357011;1;64,667707209;1;63,3685025678
1,1;54,4223195705;1,1;52,0109603888;1,1;55,4764916109;1,1;54,8239709263;1,1;59,4135950318;1,1;59,769736884;1,1;63,4934470373;1,1;64,6933317995;1,1;63,3447226934
1,2;54,3996235646;1,2;51,9683541633;1,2;55,4764916109;1,2;54,8239709263;1,2;59,4135950318;1,2;59,7940086354;1,2;63,517265056;1,2;64,6933317995;1,2;63,3447226934
1,3;54,3555862801;1,3;51,9244839941;1,3;55,453477862;1,3;54,9139661665;1,3;59,4377654621;1,3;59,7226407995;1,3;63,517265056;1,3;64,717455355;1,3;63,3447226934
1,4;54,3329105384;1,4;51,9683541633;1,4;55,4764916109;1,4;54,9368178016;1,4;59,4135950318;1,4;59,7226407995;1,4;63,517265056;1,4;64,7430933198;1,4;63,3447226934
1,5;54,3329105384;1,5;51,9038487447;1,5;55,431824157;1,5;54,8696267783;1,5;59,4135950318;1,5;59,7468991765;1,5;63,5425783882;1,5;64,717455355;1,5;63,3447226934
1,6;54,3769344485;1,6;51,9038487447;1,6;55,4995122496;1,6;54,8911214212;1,6;59,4135950318;1,6;59,7940086354;1,6;63,5425783882;1,6;64,7430933198;1,6;63,3447226934
1,7;54,3996235646;1,7;51,8600191039;1,7;55,4764916109;1,7;54,8467954074;1,7;59,4377654621;1,7;59,769736884;1,7;63,5678986101;1,7;64,7430933198;1,7;63,3685025678
1,8;54,3769344485;1,8;51,8394029267;1,8;55,4764916109;1,8;54,9139661665;1,8;59,4135950318;1,8;59,7940086354;1,8;63,5678986101;1,8;64,7687381746;1,8;63,3447226934
